"Trend Type","N","Mean (Median) Ratio","Mean (Median) CV","Mean Timepoints"
"stable",37,"1.21 (1.12)","0.187 (0.208)","10.5"
"variable",23,"1.43 (1.33)","0.418 (0.341)","14.3"
"increasing",12,"2.13 (1.65)","0.428 (0.296)","19.8"
"decreasing",6,"1.17 (1.23)","0.191 (0.165)","21.3"
