"Date","Plot","Grazed","total_mass"
"2005",24,"ug",238.2
"2005",25,"g",188.88
"2005",25,"ug",101.8
"2005",26,"g",293.71
"2005",26,"ug",823.6
"2005",29,"ug",202.9
"2005",31,"ug",298.9
"2005",32,"ug",445.1
"2005",33,"ug",301.9
"2005",34,"ug",126.2
"2005",35,"ug",257.36
"2005",36,"ug",168.5
"2005",37,"ug",425.46
"2005",38,"ug",245.1
"2005",39,"g",505.64
"2005",40,"ug",483.8
"2005",41,"g",256.7
"2005",41,"ug",204.8
"2005",42,"ug",141.9
"2005",44,"g",377.3
"2005",47,"g",466.06
"2005",48,"g",219.3
"2005",49,"g",155.3
"2005",52,"g",292
"2005",53,"g",151.8
"2005",54,"g",86.4
"2005",54,"ug",275.6
"2005",55,"g",132.3
"2005",56,"g",234.56
"2005",57,"g",282.2
"2005",58,"g",345.92
"2005",59,"g",233.9
"2005",60,"g",783.08
"2005",61,"g",285.4
"2005",64,"g",456.6
"2005",65,"g",185.7
"2005",66,"g",357.2
"2005",68,"g",208.38
"2005",69,"g",211.1
"2005",70,"g",250.3
"2005",71,"g",118.2
"2005",72,"g",153.1
"2005",73,"g",139.56
"2005",74,"g",272.9
"2005",75,"g",192.7
"2005",76,"g",233.4
"2005",77,"g",137.1
"2005",78,"g",376.3
"2005",79,"g",72.36
"2005",80,"g",193.84
"2005",81,"g",191
"2005",82,"g",313.74
"2005",83,"g",294.2
"2005",84,"g",293.6
"2005",85,"g",380.1
"2005",86,"g",120.3
"2005",87,"g",203
"2005",88,"g",307.34
"2005",89,"g",261.08
"2005",90,"g",79.64
"2005",91,"g",277.3
"2005",92,"g",71.8
"2005",93,"g",271.5
"2005",94,"g",329.5
"2005",95,"g",243.8
"2005",96,"g",270.2
"2005",97,"g",132.1
"2005",98,"g",155.8
"2005",99,"g",451.5
"2005",100,"g",180.4
"2005",101,"g",460.1
"2005",102,"g",865.4
"2005",103,"g",156.1
"2005",104,"g",350.6
"2005",105,"g",105.38
"2005",106,"g",257.2
"2005",107,"g",326.8
"2005",108,"g",172.9
"2005",109,"g",246.6
"2005",110,"g",333.78
"2005",111,"g",239
"2005",112,"g",135.96
"2005",113,"g",237.26
"2005",114,"g",44.9
"2005",116,"g",358
"2005",118,"g",207.14
"2005",119,"g",115.94
"2005",120,"g",233.1
"2005",121,"g",206.58
"2005",122,"g",314.96
"2005",123,"g",446.8
"2005",124,"g",494.4
"2005",125,"g",251.6
"2005",126,"g",380
"2005",127,"g",488.26
"2005",128,"g",160.7
"2005",129,"g",515.5
"2005",130,"g",288.1
"2005",131,"g",306.8
"2005",132,"g",262.1
"2005",133,"g",424.16
"2005",134,"g",300.1
"2005",135,"g",183.8
"2005",136,"g",301.3
"2005",137,"g",520.7
"2005",138,"g",372.6
"2005",139,"g",261.5
"2005",140,"g",167.4
"2005",141,"g",134.9
"2005",142,"g",237.28
"2005",143,"g",257.4
"2005",144,"g",275
"2005",145,"g",225
"2005",146,"g",210.8
"2005",147,"g",259.8
"1996",1,"pre",824.1
"1996",2,"pre",766.6
"1996",3,"pre",156
"1996",4,"pre",526.4
"1996",5,"pre",768.2
"1996",6,"pre",305.7
"1996",7,"pre",351.3
"1996",8,"pre",625.7
"1996",9,"pre",80.1
"1996",10,"pre",22.7
"1996",11,"pre",251.7
"1996",12,"pre",146.1
"1996",13,"pre",234.7
"1996",14,"pre",1741.5
"1996",15,"pre",587.8
"1996",16,"pre",924.2
"1996",17,"pre",699.6
"1996",18,"pre",209.8
"1996",19,"pre",272
"1996",20,"pre",143.7
"1996",21,"pre",146.3
"1996",22,"pre",241.2
"1996",23,"pre",358.4
"1996",24,"pre",326.7
"1996",25,"pre",34.4
"1996",26,"pre",702.9
"1996",27,"pre",938
"1996",28,"pre",718.8
"1996",29,"pre",503.4
"1996",30,"pre",432.6
"1996",31,"pre",240.1
"1996",32,"pre",1373.8
"1996",33,"pre",901.4
"1996",34,"pre",827.9
"1996",35,"pre",413.2
"1996",36,"pre",61
"1996",37,"pre",298.7
"1996",38,"pre",122.8
"1996",39,"pre",273.9
"1996",40,"pre",367.2
"1996",41,"pre",432.3
"1996",42,"pre",340.5
"1996",43,"pre",27.2
"1996",44,"pre",384.9
"1996",45,"pre",933.5
"1996",46,"pre",617.7
"1996",47,"pre",711.2
"1996",48,"pre",1190.2
"1996",49,"pre",442.9
"1996",50,"pre",285.8
"1996",51,"pre",282.9
"1996",52,"pre",177.2
"1996",53,"pre",408
"1996",54,"pre",365.2
"1996",55,"pre",1228.4
"1996",56,"pre",243.7
"1996",57,"pre",709.1
"1996",58,"pre",473
"1996",59,"pre",134.5
"1996",60,"pre",765.9
"1996",61,"pre",578.3
"1996",62,"pre",579.8
"1996",63,"pre",364.5
"1996",64,"pre",250.3
"1996",65,"pre",94
"1996",66,"pre",103.9
"1996",67,"pre",623
"1996",68,"pre",509.1
"1996",69,"pre",298.5
"1996",70,"pre",899.2
"1996",71,"pre",406.3
"2004",12,"g",94.612
"2004",30,"g",93.168
