"Year","Branch","Transect","Rep_sd","Rep_mean","Rep_sum","Shoot.Height_sd","Shoot.Height_mean","Shoot.Height_sum","Shoot.Mass_sd","Shoot.Mass_mean","Shoot.Mass_sum","Shoot.specific.Mass_sd","Shoot.specific.Mass_mean","Shoot.specific.Mass_sum","Stem.Diameter_sd","Stem.Diameter_mean","Stem.Diameter_sum","Flower_sd","Flower_mean","Flower_sum"
2004,"L",1,NA,NA,0,54.3218196908073,66.0209219858156,18617.9,3.08932529726941,2.23853736654804,629.029,0.0195035629558173,0.021017793594306,5.906,NA,NA,0,NA,NA,0
2004,"L",2,NA,NA,0,55.7079922184107,68.0412587412587,19459.8,3.17645130802924,2.205,630.63,0.0183798538715649,0.0191923076923077,5.489,NA,NA,0,NA,NA,0
2004,"L",3,NA,NA,0,53.3823322937502,66.3780821917808,19382.4,2.95487863038777,2.13961512027491,622.628,0.0180666308987656,0.0193161512027491,5.621,NA,NA,0,NA,NA,0
2004,"R",1,NA,NA,0,62.6073770334349,74.9568421052632,21362.7,3.7379098132022,2.66291929824561,758.932,0.01966596012518,0.0209964912280702,5.984,NA,NA,0,NA,NA,0
2004,"R",2,NA,NA,0,53.9220375254668,68.3368243243243,20227.7,3.56183283934482,2.45339527027027,726.205,0.0209381828520341,0.0211722972972973,6.267,NA,NA,0,NA,NA,0
2004,"R",3,NA,NA,0,58.0030308184713,72.2517006802721,21242,3.75168013639856,2.6867380952381,789.901,0.0216346193663133,0.0217789115646259,6.403,NA,NA,0,NA,NA,0
2005,"L",1,NA,NA,0,57.0516220721896,73.256711409396,21830.5,3.67283840119819,2.58613422818792,770.668,0.0213235669292716,0.0208389261744966,6.21,NA,NA,0,NA,NA,0
2005,"L",2,NA,NA,0,62.6206372263935,76.1889632107023,22780.5,4.01756167951008,2.80511705685619,838.73,0.0211259202154459,0.0215819397993311,6.453,NA,NA,0,NA,NA,0
2005,"L",3,NA,NA,0,54.6878166756756,69.7615131578947,21207.5,3.75175942564279,2.56265460526316,779.047,0.0220878417401022,0.0214572368421053,6.523,NA,NA,0,NA,NA,0
2005,"R",1,NA,NA,0,61.4442993267757,75.2147540983607,22940.5,4.199356611861,2.81933442622951,859.897,0.0220125111495617,0.0215967213114754,6.587,NA,NA,0,NA,NA,0
2005,"R",2,NA,NA,0,60.18644397803,73.8013468013468,21919,4.28453754754667,2.88916498316498,858.082,0.0231519160278629,0.0223265993265993,6.631,NA,NA,0,NA,NA,0
2005,"R",3,NA,NA,0,60.9241348982551,77.4752475247525,23475,4.0625374088471,2.9059801980198,880.512,0.0218776638863704,0.0223498349834984,6.772,NA,NA,0,NA,NA,0
2006,"L",1,NA,NA,0,47.5435706694567,65.1385390428212,25860,3.34526017763484,1.92061712846348,762.485,0.0206187805628717,0.0165188916876574,6.558,NA,NA,0,NA,NA,0
2006,"L",2,NA,NA,0,48.228642544053,67.5013054830287,25853,3.74467452304506,2.14880417754569,822.992,0.0229362827424077,0.018154046997389,6.953,NA,NA,0,NA,NA,0
2006,"L",3,NA,NA,0,46.925753702463,67.6666666666667,26593,3.0083649536708,1.87150636132316,735.502,0.0184505144399026,0.016412213740458,6.45,NA,NA,0,NA,NA,0
2006,"R",1,NA,NA,0,50.0941439429067,70.75,26460.5,3.8512588945381,2.29410160427808,857.994,0.0218475851648271,0.0184732620320856,6.909,NA,NA,0,NA,NA,0
2006,"R",2,NA,NA,0,51.6444837846361,72.2275689223058,28818.8,3.70187466381721,2.37741102756892,948.587,0.0221851088156119,0.0194210526315789,7.749,NA,NA,0,NA,NA,0
2006,"R",3,NA,NA,0,42.6040714471795,60.441504178273,21698.5,3.47197378013681,1.69463788300836,608.375,0.0202366056110511,0.0156239554317549,5.609,NA,NA,0,NA,NA,0
2007,"L",1,NA,NA,0,53.1142415423128,70.5421319796954,13896.8,3.17924454272992,2.02178680203046,398.292,0.0176784020399002,0.0168781725888325,3.325,NA,NA,0,NA,NA,0
2007,"L",2,NA,NA,0,55.439603292478,71.2320197044335,14460.1,3.42995540015702,2.1088078817734,428.088,0.0184417166404576,0.0170837438423645,3.468,NA,NA,0,NA,NA,0
2007,"L",3,NA,NA,0,49.5721343317797,72.1809045226131,14364,2.98998015210541,1.95135175879397,388.319,0.0172083468603143,0.0169045226130653,3.364,NA,NA,0,NA,NA,0
2007,"R",1,NA,NA,0,50.8307976033361,67.351690821256,13941.8,2.87599144210435,1.75967149758454,364.252,0.0161863285761533,0.015256038647343,3.158,NA,NA,0,NA,NA,0
2007,"R",2,NA,NA,0,47.3029690685089,67.3849246231156,13409.6,3.14636087975432,1.95822727272727,387.729,0.0188400571025662,0.0180808080808081,3.58,NA,NA,0,NA,NA,0
2007,"R",3,NA,NA,0,46.2029814982392,70.1761421319797,13824.7,3.02290414549621,2.02161421319797,398.258,0.0196609600805697,0.0185634517766497,3.657,NA,NA,0,NA,NA,0
2008,"L",1,NA,NA,0,51.7472260764705,63.989847715736,12606,3.03164316176169,1.85453571428571,363.489,0.0184816199869412,0.016734693877551,3.28,2.01400590912246,4.70891089108911,475.6,NA,NA,0
2008,"L",2,NA,NA,0,56.024141956892,69.8190954773869,13894,3.33916308908016,1.99022613065327,396.055,0.0172136657577004,0.017251256281407,3.433,1.90122609200509,5.49484536082474,533,NA,NA,0
2008,"L",3,NA,NA,0,53.8943071278858,65.8085427135678,13095.9,2.45490355139437,1.5358883248731,302.57,0.0139802975864247,0.0146294416243655,2.882,1.66233512580975,5.2969696969697,524.4,NA,NA,0
2008,"R",1,NA,NA,0,46.5857126595796,62.4652406417112,11681,2.49974764308517,1.44156684491979,269.573,0.0141444489516252,0.0147593582887701,2.76,1.79948090171514,5.12413793103448,445.8,NA,NA,0
2008,"R",2,NA,NA,0,47.3604122925609,63.5235602094241,12133,2.39222923065104,1.50994764397906,288.4,0.0152221973929284,0.0151047120418848,2.885,1.79077472177734,5.36630434782609,493.7,NA,NA,0
2008,"R",3,NA,NA,0,45.3355619543297,59.6907216494845,11580,2.00971838051888,1.288296875,247.353,0.0132300386370777,0.0141145833333333,2.71,1.80372400049484,4.62765957446809,435,NA,NA,0
2009,"L",1,NA,NA,0,53.7292330970047,67.6666666666667,19894,3.04808558216293,1.79937414965986,529.016,0.0171962901083292,0.0151054421768707,4.441,1.62031770667559,7.16081081081081,529.9,NA,NA,0
2009,"L",2,NA,NA,0,48.6761864285532,61.9632107023411,18527,2.7611053108061,1.68280936454849,503.16,0.0172750493624529,0.0155685618729097,4.655,1.37842166232103,7.20945945945946,533.5,NA,NA,0
