"Year","WATERSHED","PLOT","DBH_mean","DBH_sd","n_trees"
2002,"WS06",4,13.8058823529412,5.71870620971321,34
2002,"WS06",6,15.5111111111111,4.95963191355454,27
2002,"WS06",14,16.1324324324324,5.59796858264248,37
2002,"WS06",18,15.3962962962963,6.97062415710395,27
2002,"WS06",19,14.9791666666667,6.55518242817594,24
2002,"WS06",21,12.8666666666667,3.96032406081455,33
2002,"WS06",23,17.35,7.12005513919557,28
2002,"WS06",25,17.4322580645161,4.93777190621939,31
2002,"WS06",38,14.0894736842105,5.2297115638375,19
2002,"WS06",39,16.0230769230769,6.89279668595021,26
2002,"WS06",41,13.1418604651163,7.36333363161976,43
2002,"WS06",43,17.8125,7.41152524934909,24
2002,"WS06",45,11.9277777777778,5.58424370687542,36
2002,"WS06",54,13.1818181818182,4.47349517613567,33
2002,"WS06",56,16.5863636363636,7.16634299077792,22
2002,"WS06",58,15.3045454545455,7.58227741090569,22
2002,"WS06",60,16.592,6.41969106214102,25
2002,"WS06",65,15.8428571428571,3.98868041193719,21
2002,"WS06",66,16.1228571428571,11.5767791343728,35
2002,"WS06",67,12.045,4.84825900552099,40
2002,"WS06",68,12.575,5.65119620244409,28
2002,"WS06",69,10.9648648648649,5.52017593400268,37
2002,"WS07",1,11.7430555555556,5.12370427148746,72
2002,"WS07",3,13.2833333333333,7.19609779876648,18
2002,"WS07",14,14.2333333333333,6.0660094451159,18
2002,"WS07",18,16.6875,5.35049841915062,16
2002,"WS07",19,13.3176470588235,3.90372182892776,17
2002,"WS07",20,16.4625,3.26799960657455,8
2002,"WS07",22,13.6411764705882,4.61953174352247,17
2002,"WS07",24,11.006976744186,3.23267509368805,43
2002,"WS07",26,11.445,4.85803326249288,40
2002,"WS07",39,11.805,4.37871346161716,20
2002,"WS07",41,16.23,4.9526760443219,10
2002,"WS07",43,12.04375,4.65960924685035,16
2002,"WS07",45,15.50625,3.66359909560712,16
2002,"WS07",47,12.6375,5.18440911060141,24
2002,"WS07",49,8.84705882352941,3.58593043139762,17
2002,"WS07",59,8.64736842105263,3.59758691054815,19
2002,"WS07",61,12.0071428571429,3.87486263492791,14
2002,"WS07",63,12.1730769230769,5.91314181749822,26
2002,"WS07",65,17.56,15.7225861195197,15
2002,"WS07",66,10.7542857142857,4.27133694851285,35
2002,"WS07",67,12.096,5.23907434572177,25
2002,"WS07",68,9.68947368421053,3.87425903121302,19
2002,"WS07",69,10.34,3.1861505858254,10
