"Year","Creek","Treatment","Replicate","shoot_mass"
2011,"SW","Enriched","L 1",6.56728
2011,"SW","Enriched","L 2",6.96432
2011,"SW","Enriched","L 3",8.49008
2011,"SW","Enriched","R 1",8.995
2011,"SW","Enriched","R 2",8.33731304347826
2011,"SW","Enriched","R 3",7.08892
2011,"WE","Control","L 1",6.79548
2011,"WE","Control","L 2",7.88462166666667
2011,"WE","Control","L 3",6.94068
2011,"WE","Control","R 1",7.0896
2011,"WE","Control","R 2",6.75524
2011,"WE","Control","R 3",6.30044
2012,"CL","Control","R 1",5.60244
2012,"CL","Control","R 2",5.48922833333333
2012,"CL","Control","R 3",5.83256
2012,"NE","Enriched","L 1",5.2884
2012,"NE","Enriched","L 2",5.40836666666667
2012,"NE","Enriched","L 3",5.61312
2012,"SW","Enriched","L 1",6.1236
2012,"SW","Enriched","L 2",6.19944
2012,"SW","Enriched","L 3",5.69188
2012,"SW","Enriched","R 1",6.24092
2012,"SW","Enriched","R 2",4.55916
2012,"SW","Enriched","R 3",6.723
2012,"WE","Control","L 1",6.41832
2012,"WE","Control","L 2",5.70096
2012,"WE","Control","L 3",5.13976
2012,"WE","Control","R 1",4.52
2012,"WE","Control","R 2",5.66996
2012,"WE","Control","R 3",6.27528
2013,"CL","Control","R 1",6.39352681818182
2013,"CL","Control","R 2",6.61458289855072
2013,"CL","Control","R 3",8.03366742424242
2013,"NE","Enriched","L 1",8.44978506393862
2013,"NE","Enriched","L 2",7.63912303030303
2013,"NE","Enriched","L 3",5.32879166666667
2013,"SW","Enriched","L 1",4.88736818181818
2013,"SW","Enriched","L 2",6.60947862318841
2013,"SW","Enriched","L 3",4.62571428571429
2013,"SW","Enriched","R 1",4.94265391304348
2013,"SW","Enriched","R 2",5.34177111111111
2013,"SW","Enriched","R 3",4.70172476190476
2013,"WE","Control","L 1",6.37651333333333
2013,"WE","Control","L 2",5.72965454545455
2013,"WE","Control","L 3",4.56404173913044
2013,"WE","Control","R 1",5.32873540372671
2013,"WE","Control","R 2",5.8274798245614
2013,"WE","Control","R 3",6.41310285714286
2014,"CL","Control","R 1",7.15764
2014,"CL","Control","R 2",6.09672
2014,"CL","Control","R 3",6.74528
2014,"NE","Enriched","L 1",8.69592
2014,"NE","Enriched","L 2",6.95228
2014,"NE","Enriched","L 3",5.04516
2014,"SW","Enriched","L 1",6.87632
2014,"SW","Enriched","L 2",7.42937666666667
2014,"SW","Enriched","L 3",5.96296
2014,"SW","Enriched","R 1",6.251025
2014,"SW","Enriched","R 2",6.82648
2014,"SW","Enriched","R 3",5.15772
2014,"WE","Control","L 1",6.21536
2014,"WE","Control","L 2",6.29238
2014,"WE","Control","L 3",4.25692
2014,"WE","Control","R 1",5.12535
2014,"WE","Control","R 2",6.57228
2014,"WE","Control","R 3",5.82996
2015,"CL","Control","R 1",6.78828
2015,"CL","Control","R 2",4.87868
2015,"CL","Control","R 3",7.89148
2015,"NE","Enriched","L 1",6.75352
2015,"NE","Enriched","L 2",4.98824
2015,"NE","Enriched","L 3",5.14056
2015,"SW","Enriched","L 1",6.7744
2015,"SW","Enriched","L 2",5.9094
2015,"SW","Enriched","L 3",6.6408
2015,"SW","Enriched","R 1",8.93476
2015,"SW","Enriched","R 2",5.18512
2015,"SW","Enriched","R 3",7.11284
2015,"WE","Control","L 1",6.11976
2015,"WE","Control","L 2",7.0798
2015,"WE","Control","L 3",7.55832
2015,"WE","Control","R 1",5.16748
2015,"WE","Control","R 2",6.05284
2015,"WE","Control","R 3",6.54568
2016,"CL","Control","R 1",7.4062
2016,"CL","Control","R 2",6.59808
2016,"CL","Control","R 3",7.989855
2016,"NE","Enriched","L 1",5.32534434782609
2016,"NE","Enriched","L 2",4.4662
2016,"NE","Enriched","L 3",4.27752
2016,"SW","Enriched","L 1",11.3076589473684
2016,"SW","Enriched","L 2",5.39258666666667
2016,"SW","Enriched","L 3",8.56124
2016,"SW","Enriched","R 1",8.06536
2016,"SW","Enriched","R 2",5.02428
2016,"SW","Enriched","R 3",6.01416
2016,"WE","Control","L 1",5.063155
2016,"WE","Control","L 2",4.19412
2016,"WE","Control","L 3",5.75928333333333
2016,"WE","Control","R 1",4.43492
2016,"WE","Control","R 2",6.05744
2016,"WE","Control","R 3",5.72792
2017,"CL","Control","R 1",7.1604
2017,"CL","Control","R 2",5.33544
2017,"CL","Control","R 3",6.66916
2017,"NE","Enriched","L 1",8.61732
2017,"NE","Enriched","L 2",4.63076
2017,"NE","Enriched","L 3",4.41752
2017,"SW","Enriched","L 1",7.79636
2017,"SW","Enriched","L 2",7.00716
2017,"SW","Enriched","L 3",7.01848
2017,"SW","Enriched","R 1",8.1216
2017,"SW","Enriched","R 2",6.47624
2017,"SW","Enriched","R 3",8.5922
2017,"WE","Control","L 1",5.60164
2017,"WE","Control","L 2",7.05848
2017,"WE","Control","L 3",6.7824
2017,"WE","Control","R 1",5.0426
2017,"WE","Control","R 2",4.64308
2017,"WE","Control","R 3",5.03964
2018,"CL","Control","R 1",5.33132
2018,"CL","Control","R 2",5.18672
2018,"CL","Control","R 3",5.85232
2018,"NE","Enriched","L 1",3.64832
2018,"NE","Enriched","L 2",3.39884
2018,"NE","Enriched","L 3",4.5082
2018,"SW","Enriched","L 1",4.67808
2018,"SW","Enriched","L 2",5.4002
2018,"SW","Enriched","L 3",4.91616
2018,"SW","Enriched","R 1",9.49445575757576
2018,"SW","Enriched","R 2",4.58096
2018,"SW","Enriched","R 3",4.69556
2018,"WE","Control","L 1",6.29116
2018,"WE","Control","L 2",6.42176
2018,"WE","Control","L 3",7.20464
2018,"WE","Control","R 1",2.75936
2018,"WE","Control","R 2",4.22804
2018,"WE","Control","R 3",4.65016
2019,"CL","Control","R 1",5.897
2019,"CL","Control","R 2",5.85212
2019,"CL","Control","R 3",6.30644
2019,"NE","Enriched","L 1",5.94048
2019,"NE","Enriched","L 2",5.26132
2019,"NE","Enriched","L 3",5.00484
2019,"SW","Enriched","L 1",5.95824
