"Year","Species","Creek","Branch","Transect_sd","Transect_mean","Transect_sum","Rep_sd","Rep_mean","Rep_sum","Shoot.Height_sd","Shoot.Height_mean","Shoot.Height_sum","Shoot.Mass_sd","Shoot.Mass_mean","Shoot.Mass_sum","Shoot.specific.Mass_sd","Shoot.specific.Mass_mean","Shoot.specific.Mass_sum","Stem.Diameter_sd","Stem.Diameter_mean","Stem.Diameter_sum","Flower_sd","Flower_mean","Flower_sum"
2004,"SP","CL","L",0.821994936526786,2,150,NA,NA,0,4.229321501182,28.4013333333333,2130.1,0.0273011236280002,0.0674,5.055,0.000801575026134499,0.00237333333333333,0.178,NA,NA,0,NA,NA,0
2004,"SP","CL","R",0.821994936526786,2,150,NA,NA,0,5.90213734381243,33.3533333333333,2501.5,0.0483324746739509,0.10016,7.512,0.00107669832324532,0.00294666666666667,0.221,NA,NA,0,NA,NA,0
2004,"SP","NE","L",0.819175048502367,1.98648648648649,147,NA,NA,0,6.34066946199,29.3689189189189,2173.3,0.0408364619362744,0.0784189189189189,5.803,0.00110667591502479,0.00262162162162162,0.194,NA,NA,0,NA,NA,0
2004,"SP","NE","R",0.821994936526786,2,150,NA,NA,0,5.30946019549705,32.052,2403.9,0.0382874382523554,0.0935333333333333,7.015,0.000920830021191712,0.00282666666666667,0.212,NA,NA,0,NA,NA,0
2004,"SP","SW","L",0.824194192076472,2.04285714285714,143,NA,NA,0,5.32215592455728,36.2042857142857,2534.3,0.051389119615993,0.107357142857143,7.515,0.00116015633986082,0.00295714285714286,0.207,NA,NA,0,NA,NA,0
2004,"SP","SW","R",0.819175048502367,1.98648648648649,147,NA,NA,0,6.46469293319288,33.7297297297297,2496,0.0402672417602467,0.0978783783783784,7.243,0.00091513256121225,0.00289189189189189,0.214,NA,NA,0,NA,NA,0
2004,"SP","WE","L",0.812533856282699,2.04166666666667,147,NA,NA,0,5.49155116465769,31.3680555555556,2258.5,0.0396164687108056,0.0865138888888889,6.229,0.000941874899075566,0.00276388888888889,0.199,NA,NA,0,NA,NA,0
2004,"SP","WE","R",0.810428146155753,1.97297297297297,146,NA,NA,0,7.26630938846132,34.6216216216216,2562,0.0438350801753574,0.0992162162162162,7.342,0.000998054382740275,0.00282432432432432,0.209,NA,NA,0,NA,NA,0
2004,"SSA","CL","L",0.851256530758749,2,140,NA,NA,0,5.70922775631687,23.3671428571429,1635.7,0.185049585431373,0.263685714285714,18.458,0.00494139568384761,0.0104,0.728,NA,NA,0,NA,NA,0
2004,"SSA","CL","R",0.812533856282699,2.04166666666667,147,NA,NA,0,6.22011713706004,30.3263888888889,2183.5,0.205389311237413,0.441638888888889,31.798,0.0045912543589328,0.0139305555555556,1.003,NA,NA,0,NA,NA,0
2004,"SSA","NE","L",0.819175048502367,2.01351351351351,149,NA,NA,0,7.83437682269151,32.5297297297297,2407.2,0.281327241234289,0.567324324324324,41.982,0.00485494896302146,0.0168648648648649,1.248,NA,NA,0,NA,NA,0
2004,"SSA","NE","R",0.821994936526786,2,150,NA,NA,0,4.90813812151001,26.3133333333333,1973.5,0.144956131294954,0.30952,23.214,0.00379307097051813,0.0114666666666667,0.86,NA,NA,0,NA,NA,0
2004,"SSA","SW","L",0.821994936526786,2,150,NA,NA,0,9.99883290486742,34.736,2605.2,0.691004767326875,0.831706666666667,62.378,0.0122397226606983,0.0212,1.59,NA,NA,0,NA,NA,0
2004,"SSA","SW","R",0.803869584329698,2.02898550724638,140,NA,NA,0,9.78175550887798,37.5927536231884,2593.9,0.561802202968284,0.831405797101449,57.367,0.00932438524905555,0.0207101449275362,1.429,NA,NA,0,NA,NA,0
2004,"SSA","WE","L",0.819284666147921,2.01408450704225,143,NA,NA,0,5.21378300269537,29.4619718309859,2091.8,0.222817358754471,0.3677,25.739,0.00614202170639456,0.0120142857142857,0.841,NA,NA,0,NA,NA,0
2004,"SSA","WE","R",0.836539773565214,2.01408450704225,143,NA,NA,0,8.32192614292931,30.930985915493,2196.1,0.264697758623913,0.423802816901408,30.09,0.00518692831569058,0.0128450704225352,0.912,NA,NA,0,NA,NA,0
2004,"TSA","CL","L",0.816182897094822,2.07352941176471,141,NA,NA,0,28.8158253196029,132.051470588235,8979.5,2.00379342769142,5.96146268656716,399.418,0.00763963930088789,0.0442985074626866,2.968,NA,NA,0,NA,NA,0
2004,"TSA","CL","R",0.803869584329698,2.02898550724638,140,NA,NA,0,19.7020350037936,159.384057971014,10997.5,2.57130556491914,7.7655652173913,535.824,0.0124272992404187,0.0480579710144928,3.316,NA,NA,0,NA,NA,0
2004,"TSA","NE","L",0.825198388844998,1.98571428571429,139,NA,NA,0,26.7102978334568,149.235714285714,10446.5,2.41331257423326,6.81388571428571,476.972,0.0112706309563045,0.0452428571428571,3.167,NA,NA,0,NA,NA,0
2004,"TSA","NE","R",0.821994936526786,2,150,NA,NA,0,21.2308737455621,152.4,11430,2.55240681950434,8.16409333333333,612.307,0.0131907966824266,0.0530533333333333,3.979,NA,NA,0,NA,NA,0
2004,"TSA","SW","L",0.833333333333333,2,146,NA,NA,0,20.7188429410484,145.938356164384,10653.5,2.68725044291044,6.29287671232877,459.38,0.0151033980673598,0.0423287671232877,3.09,NA,NA,0,NA,NA,0
2004,"TSA","SW","R",0.81603041098911,1.97260273972603,144,NA,NA,0,21.9736225397413,165.486301369863,12080.5,3.0756735306966,8.1087397260274,591.938,0.015111860935824,0.0482739726027397,3.524,NA,NA,0,NA,NA,0
2004,"TSA","WE","L",0.80098161901178,1.98529411764706,135,NA,NA,0,20.3773809318947,140.360294117647,9544.5,2.15987819848922,5.49055882352941,373.358,0.0116650276870405,0.0383235294117647,2.606,NA,NA,0,NA,NA,0
2004,"TSA","WE","R",0.829213560776686,2.08219178082192,152,NA,NA,0,19.7794705272386,128.958904109589,9414,1.90775974460902,4.97791780821918,363.388,0.0117621015113572,0.038013698630137,2.775,NA,NA,0,NA,NA,0
2005,"SP","CL","L",0.819175048502367,2.01351351351351,149,NA,NA,0,6.56764984110711,32.9459459459459,2438,0.0321524736588696,0.0668378378378378,4.946,0.000810428146155753,0.00197297297297297,0.146,NA,NA,0,NA,NA,0
2005,"SP","CL","R",0.811107105653813,2,154,NA,NA,0,6.90393386428786,35.5584415584416,2738,0.0341021694777553,0.0808311688311688,6.224,0.000788675832885724,0.00227272727272727,0.175,NA,NA,0,NA,NA,0
2005,"SP","NE","L",0.819175048502367,1.98648648648649,147,NA,NA,0,9.87320578744758,38.1621621621622,2824,0.0690297329818274,0.0957297297297297,7.084,0.000994244823644904,0.00243243243243243,0.18,NA,NA,0,NA,NA,0
