Year,BLOCK_ID,TREATMENT,Total_abundance_per_kg
2001,1,C,9346.104748
2001,1,CN,12621.93676
2001,1,CP,6097.851839
2001,1,N,9098.326523
2001,1,P,5055.238028
2001,1,U,5250.398785
2001,1,W,3420.10974
2001,2,C,12762.64878
2001,2,CN,38811.55733
2001,2,CP,7925.008421
2001,2,N,9033.793659
2001,2,P,13966.49643
2001,2,U,6800.299907
2001,2,W,6652.095604
2001,3,C,4579.689883
2001,3,CN,15501.71846
2001,3,CP,5391.608804
2001,3,N,3477.055143
2001,3,P,7055.961302
2001,3,U,6478.161443
2001,3,W,6384.252963
2001,4,C,5908.48767
2001,4,CN,1650.960461
2001,4,CP,2947.809895
2001,4,N,2909.693082
2001,4,P,8512.16327
2001,4,U,4270.98943
2001,4,W,1438.665
2001,5,C,63.1640068
2001,5,CN,329.700456
2001,5,CP,5653.623552
2001,5,N,11353.779
2001,5,P,5837.152791
2001,5,U,306.311453
2001,5,W,3254.847546
2001,6,C,7669.639313
2001,6,CN,23106.72917
2001,6,CP,403.855
2001,6,N,371.77
2001,6,P,87.38211924
2001,6,U,138.5917471
2001,6,W,4360.767192
2001,7,C,4648.783559
2001,7,CN,181.7173776
2001,7,CP,354.5495812
2001,7,N,2293.259027
2001,7,P,4023.000864
2001,7,U,4110.47085
2001,7,W,1891.672728
2001,8,C,215.8236983
2001,8,CN,748.9080792
2001,8,CP,1413.50562
2001,8,N,2157.478273
2001,8,P,520.6187131
2001,8,U,995.9656015
2001,8,W,315.2018427
2007,1,C,765.115
2007,1,CN,3143.7
2007,1,CP,1113.27
2007,1,N,1033.005
2007,1,P,1576.07
2007,1,U,3002.315
2007,1,W,1390.19
2007,2,C,1042.615
2007,2,CN,910.765
2007,2,CP,679.78
2007,2,N,586.99
2007,2,P,1413.015
2007,2,U,1739.395
2007,2,W,560.05
2007,3,C,814.65
2007,3,CN,2751.625
2007,3,CP,2179.79
2007,3,N,2334.145
2007,3,P,605.935
2007,3,U,1189.395
2007,3,W,1300.675
2007,4,C,136.57
2007,4,CN,419.5
2007,4,CP,367.95
2007,4,N,1504.585
2007,4,P,1009.025
2007,4,U,1248.595
2007,4,W,641.41
2007,5,C,35.615
2007,5,CN,95.775
2007,5,CP,202.75
2007,5,N,310.58
2007,5,P,766.72
2007,5,U,197.605
2007,5,W,40.405
2007,6,C,126.04
2007,6,CN,566.475
2007,6,CP,55.295
2007,6,N,100.95
2007,6,P,5.02
2007,6,U,116.04
2007,6,W,1711.66
2007,7,C,138.41
2007,7,CN,729.955
2007,7,CP,60.065
2007,7,N,462.035
2007,7,P,735.08
2007,7,U,857.715
2007,7,W,228.925
2007,8,C,162.02
2007,8,CN,89.2
2007,8,CP,1109.525
2007,8,N,60.315
2007,8,P,1224.875
2007,8,U,237.45
2007,8,W,85.965
2010,1,C,1869.462546
2010,1,CN,737.6519602
2010,1,CP,1256.6187
2010,1,N,891.8501345
2010,1,P,201.7153275
2010,1,U,309.388795
2010,1,W,443.4058037
2010,2,C,458.4457517
2010,2,CN,2037.590764
2010,2,CP,141.310195
2010,2,N,281.9497679
2010,2,P,458.1398994
2010,2,U,285.8102229
2010,2,W,241.7156009
2010,3,C,1308.750198
2010,3,CN,613.4396549
2010,3,CP,50.42065447
2010,3,N,374.6669467
2010,3,P,960.1246
2010,3,U,856.7747937
2010,3,W,151.265639
2010,4,C,904.2019483
2010,4,CN,660.9537203
2010,4,CP,8049.612639
2010,4,N,30.19701766
2010,4,P,345.1846482
2010,4,U,597.8905101
2010,4,W,514.5707099
2010,5,C,1209.846698
2010,5,CN,3656.10779
2010,5,CP,2026.361215
2010,5,N,592.048804
2010,5,P,690.7234815
2010,5,U,798.3690703
2010,5,W,1051.182695
2010,6,C,274.1296566
2010,6,CN,472.0551271
2010,6,CP,1280.876668
2010,6,N,473.1519393
2010,6,P,0
2010,6,U,111.0596018
2010,6,W,376.0302688
2010,7,C,1839.606392
2010,7,CN,50.24803748
2010,7,CP,0
2010,7,N,1079.058115
2010,7,P,2187.745847
2010,7,U,577.5717933
2010,7,W,1744.322525
2010,8,C,797.3551502
2010,8,CN,60.04481298
2010,8,CP,670.9042266
2010,8,N,1071.264852
2010,8,P,564.3145583
2010,8,U,797.6126592
2010,8,W,90.87510772
2011,1,C,2895
2011,1,CN,6440.3
2011,1,CP,1349.5
2011,1,N,1925.1
2011,1,P,1130.6
2011,1,U,1650.75
2011,1,W,2511.15
2011,2,C,1425.5
2011,2,CN,3731.9
2011,2,CP,4145.95
2011,2,N,1883.7
2011,2,P,1700.5
2011,2,U,2319.75
2011,2,W,3634.35
2011,3,C,1878.6
2011,3,CN,354.3
2011,3,CP,1274.65
2011,3,N,1369.25
2011,3,P,2375.65
2011,3,U,3492.9
2011,3,W,1050.95
2011,4,C,2725.75
2011,4,CN,552.15
2011,4,CP,2123.45
2011,4,N,1158.35
2011,4,P,1415.8
2011,4,U,1908.65
2011,4,W,774.15
2011,5,C,828.55
2011,5,CN,366.5
2011,5,CP,753.6
2011,5,N,950.4
2011,5,P,2088.45
2011,5,U,40.1
2011,5,W,111.65
2011,6,C,1345.4
2011,6,CN,3218
2011,6,CP,882.05
2011,6,N,617.95
2011,6,P,106.2
2011,6,U,70.5
2011,6,W,3060.5
2011,7,C,2421.65
2011,7,CN,15.05
2011,7,CP,266.65
2011,7,N,1529.05
2011,7,P,4299.6
2011,7,U,657
2011,7,W,420.05
2011,8,C,262.25
2011,8,CN,518.55
2011,8,CP,595
2011,8,N,339.7
2011,8,P,1022.95
2011,8,U,471.65
2011,8,W,156.85
2014,1,C,1869.5
2014,1,CN,737.7
2014,1,CP,1256.6
2014,1,N,891.9
2014,1,P,201.7
2014,1,U,309.4
2014,1,W,443.4
2014,2,C,458.4
2014,2,CN,2037.6
2014,2,CP,141.3
2014,2,N,281.9
2014,2,P,458.1
2014,2,U,285.8
2014,2,W,241.7
2014,3,C,1308.8
2014,3,CN,613.4
2014,3,CP,50.4
2014,3,N,374.7
2014,3,P,960.1
2014,3,U,856.8
2014,3,W,151.3
2014,4,C,904.2
2014,4,CN,661
2014,4,CP,8049.6
2014,4,N,30.2
2014,4,P,345.2
2014,4,U,597.9
2014,4,W,514.6
2014,5,C,1209.8
2014,5,CN,3656.1
2014,5,CP,2026.4
2014,5,N,592
2014,5,P,690.7
2014,5,U,798.4
2014,5,W,1051.2
2014,6,C,274.1
2014,6,CN,472.1
2014,6,CP,1280.9
2014,6,N,473.2
2014,6,P,0
2014,6,U,111.1
2014,6,W,376
2014,7,C,1839.6
2014,7,CN,50.2
2014,7,CP,0
2014,7,N,1079.1
2014,7,P,2187.7
2014,7,U,577.6
2014,7,W,1744.3
2014,8,C,797.4
2014,8,CN,60
2014,8,CP,670.9
2014,8,N,1071.3
2014,8,P,564.3
2014,8,U,797.6
2014,8,W,90.9
2016,1,C,4610.05
2016,1,CN,11055.1
2016,1,CP,1538.2
2016,1,N,4123.7
2016,1,P,2710.7
2016,1,U,875
2016,1,W,3017.5
2016,2,C,6537.3
2016,2,CN,13940.3
2016,2,CP,8096.3
2016,2,N,2267.3
2016,2,P,2469.65
2016,2,U,2413.1
2016,2,W,3984.4
2016,3,C,2989.8
2016,3,CN,25829.9
2016,3,CP,8774
