"source","Treatment","site_abbr","early_lrr","full_lrr","lrr_change","n_early","n_total","n_years"
"CDR_sIDEPercentCover_2016-2020_processed.csv","control_infra","CDR",-0.00705467859182476,0.0222089675748154,0.0292636461666402,3,5,5
"CDR_sIDEPercentCover_2016-2020_processed.csv","control_infra_NPK","CDR",0.397052390345774,0.49614604438526,0.0990936540394857,3,5,5
"CDR_sIDEPercentCover_2016-2020_processed.csv","drought","CDR",0.000786424029388694,0.0804917546756138,0.0797053306462251,3,5,5
"CDR_sIDEPercentCover_2016-2020_processed.csv","drought_NPK","CDR",-0.0252947834410375,0.122032388250217,0.147327171691255,3,5,5
"CDR_tIDEPercentCover_2016-2020_processed.csv","control_NPK","CDR",0.211326993139739,0.238611127543129,0.0272841344033902,3,5,5
"CDR_tIDEPercentCover_2016-2020_processed.csv","control_infra","CDR",-0.00705467859182476,0.0222089675748154,0.0292636461666402,3,5,5
"CDR_tIDEPercentCover_2016-2020_processed.csv","control_infra_NPK","CDR",0.397052390345774,0.49614604438526,0.0990936540394857,3,5,5
"CDR_tIDEPercentCover_2016-2020_processed.csv","drought","CDR",0.000786424029388694,0.0804917546756138,0.0797053306462251,3,5,5
"CDR_tIDEPercentCover_2016-2020_processed.csv","drought_NPK","CDR",-0.0252947834410375,0.122032388250217,0.147327171691255,3,5,5
"GCE1.csv","Disturbed (March-2010)","GCE",-0.360413932363568,-0.169959420056553,0.190454512307014,3,11,11
"HBR_litterfall_2009-2022_processed.csv","Ca","HBR",-0.0334020132811146,-0.0197474288438522,0.0136545844372624,3,6,6
"HBR_litterfall_2009-2022_processed.csv","N","HBR",-0.0471620781235295,0.00368131952981491,0.0508433976533444,3,13,13
"HBR_litterfall_2009-2022_processed.csv","NP","HBR",-0.0348578788177971,-0.0144250079049125,0.0204328709128846,3,13,13
"HBR_litterfall_2009-2022_processed.csv","P","HBR",-0.030398069327576,-0.040035561559065,-0.00963749223148894,3,13,13
"HFR_soil-respiration_1991-2021_Processed.csv","DC","HFR",0.095555650355865,0.0344940962310841,-0.061061554124781,3,12,12
"HFR_soil-respiration_1991-2021_Processed.csv","H","HFR",0.295662523036695,0.107984474174135,-0.187678048862559,3,12,12
"KBS_Biomass_1990-2022_processed.csv","T1","KBS",0.350297764740718,0.372683894317586,0.0223861295768679,3,33,33
"KBS_Biomass_1990-2022_processed.csv","T2","KBS",0.424388113374178,0.414553999419397,-0.00983411395478118,3,33,33
