"source","site_abbr","Treatment","trend_class","n_total","record_years","n_timepoints","window_years","n_windows","p_same_sign","p_opposite_sign","p_any","directional","window_bin"
"CAP_annual_plant_biomass_2008-2024.csv","CAP","NP","stable",11,17,7,10.9986310746064,5,0.4,0,0.4,FALSE,11
"CAP_annual_plant_biomass_2008-2024.csv","CAP","NP","stable",11,17,8,12.5003422313484,4,0.5,0,0.5,FALSE,13
"CAP_annual_plant_biomass_2008-2024.csv","CAP","NP","stable",11,17,9,14.9986310746064,3,0.333333333333333,0,0.333333333333333,FALSE,15
"CAP_annual_plant_biomass_2008-2024.csv","CAP","NP","stable",11,17,10,15.9993155373032,2,0.5,0,0.5,FALSE,16
"CAP_annual_plant_biomass_2008-2024.csv","CAP","NP","stable",11,17,11,17,1,0,0,0,FALSE,17
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,3,4.00068446269678,9,0,0,0,FALSE,4
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,4,6.00205338809035,8,0,0,0,FALSE,6
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,5,7.99794661190965,7,0,0.142857142857143,0.142857142857143,FALSE,8
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,6,9,6,0,0.333333333333333,0.333333333333333,FALSE,9
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,7,10.9986310746064,5,0,0.2,0.2,FALSE,11
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,8,12.5003422313484,4,0,0,0,FALSE,13
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,9,14.9986310746064,3,0,0,0,FALSE,15
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,10,15.9993155373032,2,0,0,0,FALSE,16
"CAP_annual_plant_biomass_2008-2024.csv","CAP","P","stable",11,17,11,17,1,0,0,0,FALSE,17
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,3,3,8,0,0.125,0.125,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,4,4.00068446269678,7,0,0,0,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,5,5,6,0,0,0,FALSE,5
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,6,5.99931553730322,5,0,0,0,FALSE,6
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,7,7,4,0,0,0,FALSE,7
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,8,8.00068446269678,3,0,0,0,FALSE,8
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,9,9,2,0.5,0,0.5,FALSE,9
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oamb HTelv","variable",10,10.0020533880903,10,10.0020533880903,1,0,0,0,FALSE,10
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oneg","stable",5,5,3,3.00136892539357,3,0,0,0,FALSE,3
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oneg","stable",5,5,4,4.00068446269678,2,0,0,0,FALSE,4
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Namb M H2Oneg","stable",5,5,5,5,1,0,0,0,FALSE,5
