"source","Treatment","site_abbr","window_start","window_end","window_mid","window_lrr","window_se","window_n"
"CAP_Biomass_2006-2024_Processed.csv","NP","CAP",2017,2019,2018,0.51165764403119,0.185071191502874,3
"CAP_Biomass_2006-2024_Processed.csv","NP","CAP",2018,2021,2019.33333333333,0.447519558548877,0.127961291434787,3
"CAP_Biomass_2006-2024_Processed.csv","NP","CAP",2019,2023,2021,0.580984704969333,0.0612247628162104,3
"CAP_Biomass_2006-2024_Processed.csv","NP","CAP",2021,2024,2022.66666666667,0.525357510833172,0.116266009964389,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2008,2010,2009,0.251589310175602,0.0191942245005741,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2009,2013,2010.66666666667,0.25613245054656,0.0211807070035829,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2010,2015,2012.66666666667,0.289265619036663,0.0119753426695739,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2013,2016,2014.66666666667,0.321274226518086,0.0274284189264502,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2015,2017,2016,0.384685146391835,0.0452779971598589,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2016,2018,2017,0.518420220739678,0.101849722916202,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2017,2019,2018,0.39331111662973,0.210489563917308,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2018,2021,2019.33333333333,0.261813417670855,0.227381071918725,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2019,2023,2021,0.0335017700561377,0.0223457484778477,3
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",2021,2024,2022.66666666667,0.133771876452203,0.0830136540572306,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2007,2009,2008,0.292115896514422,0.0298544537991413,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2008,2010,2009,0.305333689408832,0.0368198594446666,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2009,2011,2010,0.372782710019694,0.0320952874933539,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2010,2013,2011.33333333333,0.226468778161471,0.169724295385232,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2011,2014,2012.66666666667,0.382368547772342,0.270082139094647,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2013,2015,2014,0.203114891149801,0.309142934238576,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2014,2016,2015,0.470043525814789,0.288660657585595,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2015,2017,2016,0.441016871810898,0.271972824502315,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2016,2018,2017,0.673866760355188,0.0407904016534681,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2017,2019,2018,0.822836870641069,0.162552477711125,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2018,2020,2019,0.525164062630569,0.376012694370287,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",2019,2021,2020,0.399761393688604,0.384972905094188,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2012,2014,2013,0.437293922769335,0.0571025083705307,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2013,2015,2014,0.526419797448313,0.0624137613908785,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2014,2016,2015,0.487805343519421,0.0677252022010237,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2015,2017,2016,0.666916404107045,0.150447912092651,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2016,2018,2017,0.649518044970535,0.153971189765681,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2017,2019,2018,0.765100397283037,0.108826098139777,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2018,2020,2019,0.55324340903365,0.135033589436716,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",2019,2021,2020,0.427522425128011,0.178532149134441,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv","CDR",2012,2014,2013,0.634079065382217,0.207185587766706,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv","CDR",2013,2015,2014,0.475656328040654,0.302587269765045,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv","CDR",2014,2016,2015,0.591050904663858,0.305074569477238,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv","CDR",2015,2017,2016,0.359467806337799,0.204827360504269,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv","CDR",2016,2018,2017,0.57055187805482,0.113121203826365,3
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv","CDR",2017,2019,2018,0.5527539570804,0.102281142579678,3
