"source","Treatment","site_abbr","ratio_slope","ratio_p","ratio_call","log_slope","log_p","log_call","changed"
"AND_tree_DBH_2002-2015_processed.csv","WS06","AND",3.70336304979561e-05,0.0143366756044409,"increasing",7.36548955962004e-05,0.0436412885847453,"increasing",FALSE
"AND_tree_DBH_2002-2015_processed.csv","WS07","AND",4.38691397920105e-05,0.0446938000244463,"increasing",9.73263319328129e-05,0.08199835602289,"non-directional",TRUE
"ARC_Biomass_1982-2015_processed.csv","NP","ARC",7.28138232497183e-05,0.297927059565537,"non-directional",4.99934368970426e-05,0.301470204945244,"non-directional",FALSE
"BNZ_NEE_2009-2021.csv","C S","BNZ",-7.80986242035744e-05,0.392272935222757,"non-directional",-3.97506144677747e-05,0.474592419522049,"non-directional",FALSE
"BNZ_NEE_2009-2021.csv","W C","BNZ",-0.000186544987421987,0.384762242635231,"non-directional",-0.00114435017135063,0.0154885993935313,"decreasing",TRUE
"BNZ_NEE_2009-2021.csv","W S","BNZ",0.000201172892923201,0.445082531737557,"non-directional",9.85889235857668e-05,0.392676155576799,"non-directional",FALSE
"CAP_Biomass_2006-2024_Processed.csv","N","CAP",-3.75760304402349e-05,0.466991244073088,"non-directional",-2.39735118783944e-05,0.462792505541125,"non-directional",FALSE
"CAP_Biomass_2006-2024_Processed.csv","NP","CAP",-0.000163186254769398,0.0492274608259053,"decreasing",-8.01547194683416e-05,0.0446588532939784,"decreasing",FALSE
"CAP_Biomass_2006-2024_Processed.csv","P","CAP",-1.43550834265843e-05,0.759149855866053,"non-directional",-1.6271057955988e-05,0.617242982797627,"non-directional",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb","CDR",9.28095887170128e-05,0.390616420227789,"non-directional",3.48151014824848e-05,0.59684002787733,"non-directional",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTamb","CDR",-5.8195905971603e-06,0.965690264538522,"non-directional",-1.50404312780301e-05,0.839925605446942,"non-directional",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oamb HTelv","CDR",-0.000181370850548622,0.329516577419904,"non-directional",-0.000117564726458017,0.292476081000579,"non-directional",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg","CDR",3.79251483510145e-05,0.813203375767818,"non-directional",3.65742574512729e-05,0.754184821169222,"non-directional",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg HTamb","CDR",-5.3797816194617e-05,0.722779375050628,"non-directional",-9.84591630353426e-05,0.457767803449063,"non-directional",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M H2Oneg HTelv","CDR",-2.83791269978334e-05,0.844295558762582,"non-directional",-1.54554197094153e-05,0.869063636634094,"non-directional",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb M HTelv","CDR",-0.000532665707523764,0.0155641723443695,"decreasing",-0.000265930213185092,0.00890357500001776,"decreasing",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Namb S","CDR",8.476608734183e-05,0.00110264428738825,"increasing",0.000114686678723063,0.00203816660550414,"increasing",FALSE
"CDR_Biomass_1998-2021_gm2_processed.csv","Camb Nenrich M","CDR",-7.22085794623724e-06,0.453279938536909,"non-directional",-5.86801164965398e-06,0.497193678048176,"non-directional",FALSE
