"Date","Plot","Grazed","total_mass"
"18-07-2005",8,"g",244.81
"18-07-2005",9,"g",209.2
"18-07-2005",10,"g",393.1
"18-07-2005",12,"g",450
"18-07-2005",15,"g",451.9
"18-07-2005",16,"g",327.7
"18-07-2005",17,"g",429.7
"18-07-2005",18,"g",164.5
"18-07-2005",19,"g",470.46
"18-07-2005",20,"g",156.78
"18-07-2005",21,"g",60.2
"18-07-2005",22,"g",131
"18-07-2005",23,"g",219.3
"18-07-2005",24,"g",187.7
"18-07-2005",27,"g",317.02
"18-07-2005",28,"g",293.38
"18-07-2005",29,"g",258.6
"18-07-2005",30,"g",305.9
"18-07-2005",31,"g",497.2
"18-07-2005",32,"g",489.4
"18-07-2005",33,"g",462.4
"18-07-2005",34,"g",379
"18-07-2005",35,"g",449.3
"18-07-2005",36,"g",111.4
"18-07-2005",37,"g",128.5
"18-07-2005",38,"g",415.7
"18-07-2005",40,"g",363.92
"18-07-2005",42,"g",324.52
"18-07-2005",43,"g",194.52
"18-07-2005",45,"g",202.3
"18-07-2005",46,"g",622.6
"18-07-2005",50,"g",112.64
"18-07-2005",51,"g",87.88
"18-07-2005",62,"g",426.2
"18-07-2005",63,"g",170.1
"19-07-2005",2,"ug",410.94
"19-07-2005",4,"ug",238.8
"19-07-2005",5,"ug",685.7
"19-07-2005",6,"ug",481.06
"19-07-2005",7,"ug",265.34
"19-07-2005",8,"ug",381
"19-07-2005",9,"ug",258.1
"19-07-2005",10,"ug",785.2
"19-07-2005",11,"g",544.26
"19-07-2005",11,"ug",191.4
"19-07-2005",12,"ug",215.3
"19-07-2005",13,"g",750.26
"19-07-2005",13,"ug",523.2
"19-07-2005",14,"g",424
"19-07-2005",15,"ug",556.5
"19-07-2005",16,"ug",436.6
"19-07-2005",18,"ug",222.62
"19-07-2005",19,"ug",568.1
"19-07-2005",20,"ug",153.1
"19-07-2005",21,"ug",92.2
"19-07-2005",23,"ug",504
"19-07-2005",24,"ug",238.2
"19-07-2005",25,"g",188.88
"19-07-2005",25,"ug",101.8
"19-07-2005",26,"g",293.71
"19-07-2005",26,"ug",823.6
"19-07-2005",29,"ug",202.9
"19-07-2005",31,"ug",298.9
"19-07-2005",32,"ug",445.1
"19-07-2005",33,"ug",301.9
"19-07-2005",34,"ug",126.2
"19-07-2005",35,"ug",257.36
"19-07-2005",36,"ug",168.5
"19-07-2005",37,"ug",425.46
"19-07-2005",38,"ug",245.1
"19-07-2005",39,"g",505.64
"19-07-2005",40,"ug",483.8
"19-07-2005",41,"g",256.7
"19-07-2005",41,"ug",204.8
"19-07-2005",42,"ug",141.9
"19-07-2005",44,"g",377.3
"19-07-2005",47,"g",466.06
"19-07-2005",48,"g",219.3
"19-07-2005",49,"g",155.3
"19-07-2005",52,"g",292
"19-07-2005",53,"g",151.8
"19-07-2005",54,"g",86.4
"19-07-2005",54,"ug",275.6
"19-07-2005",55,"g",132.3
"19-07-2005",56,"g",234.56
"19-07-2005",57,"g",282.2
"19-07-2005",58,"g",345.92
"19-07-2005",59,"g",233.9
"19-07-2005",60,"g",783.08
"19-07-2005",61,"g",285.4
"19-07-2005",64,"g",456.6
"19-07-2005",65,"g",185.7
"19-07-2005",66,"g",357.2
"19-07-2005",68,"g",208.38
"19-07-2005",69,"g",211.1
"19-07-2005",70,"g",250.3
"19-07-2005",71,"g",118.2
"19-07-2005",72,"g",153.1
"19-07-2005",73,"g",139.56
"19-07-2005",74,"g",272.9
"19-07-2005",75,"g",192.7
"19-07-2005",76,"g",233.4
"19-07-2005",77,"g",137.1
"19-07-2005",78,"g",376.3
"19-07-2005",79,"g",72.36
"19-07-2005",80,"g",193.84
"19-07-2005",81,"g",191
"19-07-2005",82,"g",313.74
"19-07-2005",83,"g",294.2
"19-07-2005",84,"g",293.6
"19-07-2005",85,"g",380.1
"19-07-2005",86,"g",120.3
"19-07-2005",87,"g",203
"19-07-2005",88,"g",307.34
"19-07-2005",89,"g",261.08
"19-07-2005",90,"g",79.64
"19-07-2005",91,"g",277.3
"19-07-2005",92,"g",71.8
"19-07-2005",93,"g",271.5
"19-07-2005",94,"g",329.5
"19-07-2005",95,"g",243.8
"19-07-2005",96,"g",270.2
"19-07-2005",97,"g",132.1
"19-07-2005",98,"g",155.8
"19-07-2005",99,"g",451.5
"19-07-2005",100,"g",180.4
"19-07-2005",101,"g",460.1
"19-07-2005",102,"g",865.4
"19-07-2005",103,"g",156.1
"19-07-2005",104,"g",350.6
"19-07-2005",105,"g",105.38
"19-07-2005",106,"g",257.2
"19-07-2005",107,"g",326.8
"19-07-2005",108,"g",172.9
"19-07-2005",109,"g",246.6
"19-07-2005",110,"g",333.78
"19-07-2005",111,"g",239
"19-07-2005",112,"g",135.96
"19-07-2005",113,"g",237.26
"19-07-2005",114,"g",44.9
"19-07-2005",116,"g",358
"19-07-2005",118,"g",207.14
"19-07-2005",119,"g",115.94
"19-07-2005",120,"g",233.1
