,Year,Creek,Treatment,Replicate,shoot_mass
129,2010,SW,Enriched,L 3,7.346958333
130,2010,SW,Enriched,R 1,10.8577882
131,2010,SW,Enriched,R 2,8.475857029
132,2010,SW,Enriched,R 3,8.067641667
133,2010,WE,Control,L 1,7.302751522
134,2010,WE,Control,L 2,7.993427273
135,2010,WE,Control,L 3,6.793321159
136,2010,WE,Control,R 1,7.368058333
137,2010,WE,Control,R 2,0.870912381
138,2010,WE,Control,R 3,8.471679654
139,2011,CL,Control,R 1,8.573685
140,2011,CL,Control,R 2,6.94464
141,2011,CL,Control,R 3,6.896
142,2011,NE,Enriched,L 1,7.836658333
143,2011,NE,Enriched,L 2,7.84004
144,2011,NE,Enriched,L 3,7.905981667
145,2011,SW,Enriched,L 1,6.56728
146,2011,SW,Enriched,L 2,6.96432
147,2011,SW,Enriched,L 3,8.49008
148,2011,SW,Enriched,R 1,8.995
149,2011,SW,Enriched,R 2,8.337313043
150,2011,SW,Enriched,R 3,7.08892
151,2011,WE,Control,L 1,6.79548
152,2011,WE,Control,L 2,7.884621667
153,2011,WE,Control,L 3,6.94068
154,2011,WE,Control,R 1,7.0896
155,2011,WE,Control,R 2,6.75524
156,2011,WE,Control,R 3,6.30044
157,2012,CL,Control,R 1,5.60244
158,2012,CL,Control,R 2,5.489228333
159,2012,CL,Control,R 3,5.83256
160,2012,NE,Enriched,L 1,5.2884
161,2012,NE,Enriched,L 2,5.408366667
162,2012,NE,Enriched,L 3,5.61312
163,2012,SW,Enriched,L 1,6.1236
164,2012,SW,Enriched,L 2,6.19944
165,2012,SW,Enriched,L 3,5.69188
166,2012,SW,Enriched,R 1,6.24092
167,2012,SW,Enriched,R 2,4.55916
168,2012,SW,Enriched,R 3,6.723
169,2012,WE,Control,L  1,6.41832
170,2012,WE,Control,L  2,5.70096
171,2012,WE,Control,L  3,5.13976
172,2012,WE,Control,R 1,4.52
173,2012,WE,Control,R 2,5.66996
174,2012,WE,Control,R 3,6.27528
175,2013,CL,Control,R 1,6.393526818
176,2013,CL,Control,R 2,6.614582899
177,2013,CL,Control,R 3,8.033667424
178,2013,NE,Enriched,L 1,8.449785064
