Year,Season,Site,Stand,Treatment,Mass_gm2
2012,Fall,BEF,C4,C,299.262
2012,Fall,BEF,C4,N,331.164
2012,Fall,BEF,C4,NP,355.374
2012,Fall,BEF,C4,P,260.138
2012,Fall,BEF,C6,C,297.226
2012,Fall,BEF,C6,N,316.932
2012,Fall,BEF,C6,NP,315.626
2012,Fall,BEF,C6,P,331.774
2012,Fall,BEF,C7,C,288.81
2012,Fall,BEF,C7,N,262.502
2012,Fall,BEF,C7,NP,259.928
2012,Fall,BEF,C7,P,230.808
2012,Fall,BEF,C8,C,283.398
2012,Fall,BEF,C8,N,282.122
2012,Fall,BEF,C8,NP,230.914
2012,Fall,BEF,C8,P,306.444
2012,Fall,BEF,C9,C,349.53
2012,Fall,BEF,C9,N,286.634
2012,Fall,BEF,C9,NP,303.486
2012,Fall,BEF,C9,P,254.034
2012,Fall,HB,HBM,C,309.296
2012,Fall,HB,HBM,N,355.016
2012,Fall,HB,HBM,NP,396.724
2012,Fall,HB,HBM,P,339.478
2012,Fall,HB,HBO,C,330.304
2012,Fall,HB,HBO,N,310.634
2012,Fall,HB,HBO,NP,294.626
2012,Fall,HB,HBO,P,282.982
2012,Fall,JB,JBM,C,352.608
2012,Fall,JB,JBM,N,316.2
2012,Fall,JB,JBM,NP,292.8
2012,Fall,JB,JBM,P,317.476
2012,Fall,JB,JBO,C,311.366
2012,Fall,JB,JBO,N,325.922
2012,Fall,JB,JBO,NP,310.878
2012,Fall,JB,JBO,P,328.582
2013,Fall,BEF,C1,C,271.156
2013,Fall,BEF,C1,N,272.694
2013,Fall,BEF,C1,NP,300
2013,Fall,BEF,C1,P,278.776
2013,Fall,BEF,C2,C,308.356
2013,Fall,BEF,C2,N,277.198
2013,Fall,BEF,C2,NP,197.598
2013,Fall,BEF,C2,P,344.538
2013,Fall,BEF,C4,C,317.888
2013,Fall,BEF,C4,N,299.134
2013,Fall,BEF,C4,NP,345.435
2013,Fall,BEF,C4,P,263.564
2013,Fall,BEF,C6,C,332.26
2013,Fall,BEF,C6,N,341.566
2013,Fall,BEF,C6,NP,358.218
2013,Fall,BEF,C6,P,341.826
2013,Fall,BEF,C7,C,324.52
2013,Fall,BEF,C7,N,321.13
2013,Fall,BEF,C7,NP,319.096
2013,Fall,BEF,C7,P,243.912
2013,Fall,BEF,C8,C,333.216
2013,Fall,BEF,C8,N,296.782
2013,Fall,BEF,C8,NP,259.13
2013,Fall,BEF,C8,P,314.06
2013,Fall,BEF,C9,C,366.87
2013,Fall,BEF,C9,N,336.262
2013,Fall,BEF,C9,NP,312.086
2013,Fall,BEF,C9,P,300.348
2013,Fall,HB,HBM,C,349.39
2013,Fall,HB,HBM,N,344.87
2013,Fall,HB,HBM,NP,342.872
2013,Fall,HB,HBM,P,316.262
2013,Fall,HB,HBO,C,311.244
2013,Fall,HB,HBO,N,303.644
2013,Fall,HB,HBO,NP,313.174
2013,Fall,HB,HBO,P,238.452
2013,Fall,JB,JBM,C,239.306
2013,Fall,JB,JBM,N,226.348
2013,Fall,JB,JBM,NP,227.478
2013,Fall,JB,JBM,P,232.468
2013,Fall,JB,JBO,C,190.686
2013,Fall,JB,JBO,N,227.07
2013,Fall,JB,JBO,NP,211.218
2013,Fall,JB,JBO,P,220.662
2014,Fall,BEF,C1,C,260.086
2014,Fall,BEF,C1,N,293.616
2014,Fall,BEF,C1,NP,334.49
2014,Fall,BEF,C1,P,300.738
2014,Fall,BEF,C2,C,308.408
2014,Fall,BEF,C2,N,249.86
2014,Fall,BEF,C2,NP,239.182
2014,Fall,BEF,C2,P,293.992
2014,Fall,BEF,C4,C,275.644
2014,Fall,BEF,C4,N,264.79
2014,Fall,BEF,C4,NP,259.358
2014,Fall,BEF,C4,P,259.73
2014,Fall,BEF,C6,C,305.4
2014,Fall,BEF,C6,N,323.914
2014,Fall,BEF,C6,NP,278.808
2014,Fall,BEF,C6,P,285.93
2014,Fall,BEF,C7,C,268.252
2014,Fall,BEF,C7,N,249.826
2014,Fall,BEF,C7,NP,226.662
2014,Fall,BEF,C7,P,229.182
2014,Fall,BEF,C8,C,287.7475
2014,Fall,BEF,C8,N,263.8
2014,Fall,BEF,C8,NP,221.075
2014,Fall,BEF,C8,P,259.358
2014,Fall,BEF,C9,C,302.948
2014,Fall,BEF,C9,N,240.984
2014,Fall,BEF,C9,NP,224.398
2014,Fall,BEF,C9,P,234.182
2014,Fall,HB,HBM,C,361.52
2014,Fall,HB,HBM,N,281.43
2014,Fall,HB,HBM,NP,313.476
2014,Fall,HB,HBM,P,284.562
2014,Fall,HB,HBO,C,338.145
2014,Fall,HB,HBO,N,336.546
2014,Fall,HB,HBO,NP,334.938
2014,Fall,HB,HBO,P,275.696
2014,Fall,JB,JBM,C,306.52
2014,Fall,JB,JBM,N,265.72
2014,Fall,JB,JBM,NP,270.686
2014,Fall,JB,JBM,P,270.158
2014,Fall,JB,JBO,C,285.416
2014,Fall,JB,JBO,N,349.465
2014,Fall,JB,JBO,NP,309.702
2014,Fall,JB,JBO,P,313.328
2015,Fall,BEF,C1,C,319.104
2015,Fall,BEF,C1,N,293.506
2015,Fall,BEF,C1,NP,333.686
2015,Fall,BEF,C1,P,329.6425
2015,Fall,BEF,C2,C,294.932
2015,Fall,BEF,C2,N,298.668
2015,Fall,BEF,C2,NP,279.9225
2015,Fall,BEF,C2,P,337.538
2015,Fall,BEF,C4,C,372.088
2015,Fall,BEF,C4,N,338.98
2015,Fall,BEF,C4,NP,373.364
2015,Fall,BEF,C4,P,286.444
2015,Fall,BEF,C6,C,348.868
2015,Fall,BEF,C6,Ca,317.628
2015,Fall,BEF,C6,N,368.316
2015,Fall,BEF,C6,NP,373.79
2015,Fall,BEF,C6,P,333.054
2015,Fall,BEF,C7,C,363.476
2015,Fall,BEF,C7,N,421.914
2015,Fall,BEF,C7,NP,388.156
2015,Fall,BEF,C7,P,373.93
2015,Fall,BEF,C8,C,360.708
2015,Fall,BEF,C8,Ca,304.904
2015,Fall,BEF,C8,N,312.252
2015,Fall,BEF,C8,NP,203.416
2015,Fall,BEF,C8,P,361.322
2015,Fall,BEF,C9,C,367.46
2015,Fall,BEF,C9,N,358.68
2015,Fall,BEF,C9,NP,398.156
2015,Fall,BEF,C9,P,343.026
2015,Fall,HB,HBM,C,335.696
2015,Fall,HB,HBM,N,367.546
2015,Fall,HB,HBM,NP,357.162
2015,Fall,HB,HBM,P,318.948
2015,Fall,HB,HBO,C,284.172
2015,Fall,HB,HBO,N,273.5425
2015,Fall,HB,HBO,NP,310.9975
2015,Fall,HB,HBO,P,312.226
2015,Fall,JB,JBM,C,256.6
2015,Fall,JB,JBM,N,255.428
2015,Fall,JB,JBM,NP,234.096
2015,Fall,JB,JBM,P,263.634
2015,Fall,JB,JBO,C,272.148
2015,Fall,JB,JBO,N,264.512
2015,Fall,JB,JBO,NP,289.172
2015,Fall,JB,JBO,P,292.722
2016,Fall,BEF,C1,C,319.408
2016,Fall,BEF,C1,N,320.208
2016,Fall,BEF,C1,NP,333.226
2016,Fall,BEF,C1,P,328.714
2016,Fall,BEF,C2,C,333.826
2016,Fall,BEF,C2,N,273.39
2016,Fall,BEF,C2,NP,282.802
2016,Fall,BEF,C2,P,335.4225
2016,Fall,BEF,C4,C,322.298
2016,Fall,BEF,C4,N,322.76
2016,Fall,BEF,C4,NP,335.358
2016,Fall,BEF,C4,P,325.998
2016,Fall,BEF,C5,C,313.94
2016,Fall,BEF,C5,N,348.556
2016,Fall,BEF,C5,NP,366.556
2016,Fall,BEF,C5,P,325.0975
2016,Fall,BEF,C6,C,346.964
2016,Fall,BEF,C6,Ca,339.48
2016,Fall,BEF,C6,N,348.294
2016,Fall,BEF,C6,NP,357.2375
2016,Fall,BEF,C6,P,335.358
2016,Fall,BEF,C7,C,375.764
2016,Fall,BEF,C7,N,340.756
2016,Fall,BEF,C7,NP,273.384
2016,Fall,BEF,C7,P,264.938
2016,Fall,BEF,C8,C,350.398
2016,Fall,BEF,C8,Ca,344.598
2016,Fall,BEF,C8,N,360.288
2016,Fall,BEF,C8,NP,269.14
2016,Fall,BEF,C8,P,351.964
2016,Fall,BEF,C9,C,379.6075
2016,Fall,BEF,C9,N,354.974
2016,Fall,BEF,C9,NP,377.5525
2016,Fall,BEF,C9,P,357.358
2016,Fall,HB,HBM,C,344
2016,Fall,HB,HBM,N,405.184
2016,Fall,HB,HBM,NP,408.272
2016,Fall,HB,HBM,P,355.888
2016,Fall,HB,HBO,C,399.9185714
2016,Fall,HB,HBO,N,378.932
2016,Fall,HB,HBO,NP,356.73
2016,Fall,HB,HBO,P,298.332
2016,Fall,JB,JBM,C,324.408
2016,Fall,JB,JBM,N,328.478
2016,Fall,JB,JBM,NP,306.5033333
2016,Fall,JB,JBM,P,317.052
2016,Fall,JB,JBO,C,344.99
2016,Fall,JB,JBO,N,373.842
2016,Fall,JB,JBO,NP,354.852
2016,Fall,JB,JBO,P,380.468
2017,Fall,BEF,C1,C,369.376
2017,Fall,BEF,C1,N,318.2
2017,Fall,BEF,C1,NP,316.156
2017,Fall,BEF,C1,P,349.828
2017,Fall,BEF,C2,C,312.685
2017,Fall,BEF,C2,N,302.808
2017,Fall,BEF,C2,NP,281.042
2017,Fall,BEF,C2,P,295.582
2017,Fall,BEF,C4,C,320.794
2017,Fall,BEF,C4,N,279.406
2017,Fall,BEF,C4,NP,305.6525
2017,Fall,BEF,C4,P,204.496
2017,Fall,BEF,C5,C,313.59
2017,Fall,BEF,C5,N,349.13
2017,Fall,BEF,C5,NP,320.5833333
2017,Fall,BEF,C5,P,321.3033333
2017,Fall,BEF,C6,C,363.654
2017,Fall,BEF,C6,Ca,340.584
2017,Fall,BEF,C6,N,395.706
2017,Fall,BEF,C6,NP,375.722
2017,Fall,BEF,C6,P,343.33
2017,Fall,BEF,C7,C,317.68
2017,Fall,BEF,C7,N,425.29
2017,Fall,BEF,C7,NP,462.238
2017,Fall,BEF,C7,P,299.906
2017,Fall,BEF,C8,C,340.088
2017,Fall,BEF,C8,Ca,291.782
2017,Fall,BEF,C8,N,328.892
2017,Fall,BEF,C8,NP,320.322
2017,Fall,BEF,C8,P,313.454
2017,Fall,BEF,C9,C,365.626
2017,Fall,BEF,C9,N,376.912
2017,Fall,BEF,C9,NP,415.392
2017,Fall,BEF,C9,P,360.278
2017,Fall,HB,HBM,C,321.772
2017,Fall,HB,HBM,N,362.474
2017,Fall,HB,HBM,NP,371.57
2017,Fall,HB,HBM,P,341.45
2017,Fall,HB,HBO,C,312.0142857
2017,Fall,HB,HBO,N,406.618
2017,Fall,HB,HBO,NP,314.422
2017,Fall,HB,HBO,P,311.2375
2017,Fall,JB,JBM,C,297.176
2017,Fall,JB,JBM,N,292.085
2017,Fall,JB,JBM,NP,216.35
2017,Fall,JB,JBM,P,264.752
2017,Fall,JB,JBO,C,332.7775
2017,Fall,JB,JBO,N,317.516
2017,Fall,JB,JBO,NP,348.706
2017,Fall,JB,JBO,P,374.096
2018,Fall,BEF,C1,C,331.01
2018,Fall,BEF,C1,N,330.546
2018,Fall,BEF,C1,NP,325.154
2018,Fall,BEF,C1,P,349.104
2018,Fall,BEF,C2,C,249.34
2018,Fall,BEF,C2,N,224.722
2018,Fall,BEF,C2,NP,207.852
2018,Fall,BEF,C2,P,250.27
2018,Fall,BEF,C3,C,244.94
2018,Fall,BEF,C3,N,248.018
2018,Fall,BEF,C3,NP,340.05
2018,Fall,BEF,C3,P,311.478
2018,Fall,BEF,C4,C,228.33
2018,Fall,BEF,C4,N,284.73
2018,Fall,BEF,C4,NP,264.828
2018,Fall,BEF,C4,P,165.094
2018,Fall,BEF,C5,C,301.218
2018,Fall,BEF,C5,N,378.174
2018,Fall,BEF,C5,NP,324.216
2018,Fall,BEF,C5,P,285.818
2018,Fall,BEF,C6,C,294.782
