site,package_id,doi,citation
SEV,knb-lter-sev.186.208431,10.6073/pasta/9468c8bcda68c0a05c06499ec51b1d55,"Baur, L., Collins, S., Muldavin, E., Rudgers, J. A. & Pockman, W. T. (2024). Data from: “Nitrogen Fertilization Experiment (NFert): Seasonal Biomass and Seasonal and Annual NPP Data at the Sevilleta National Wildlife Refuge, New Mexico ver 208431.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/9468c8bcda68c0a05c06499ec51b1d55"
KNZ,knb-lter-knz.57.15,10.6073/pasta/d769700c0e40751bfb8b4fb8c34dabb2,"Blair, J. & Zeglin, L. (2023). Data from: “PBB01 Belowground Plot Experiment: Aboveground net primary productivity of tallgrass prairie based on accumulated plant biomass ver 15.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/d769700c0e40751bfb8b4fb8c34dabb2"
NTL,knb-lter-ntl.413.2,10.6073/pasta/5a9862187368b616bed8e20381343717,"Buelo, C. D., Pace, M. L., Carpenter, S. R., Stanley, E. H., Ortiz, D. A. & Ha, D. T. (2022). Data from: “Cascade Project at North Temperate Lakes LTER – Daily Bloom Data for Whole Lake Experiments 2011 - 2019 ver 2.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/5a9862187368b616bed8e20381343717"
VCR,knb-lter-vcr.168.24,10.6073/pasta/3854929ce06dc8c667eff9615adb730f,"Christian, R. (2019). Data from: “End of Year Biomass for the 1st UPC Inundation Experiment in Upper Phillips Creek marsh 1999-2014 ver 24.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/3854929ce06dc8c667eff9615adb730f"
PIE,knb-lter-pie.202.5,10.6073/pasta/226fb7db2c7b9f8119e40c937b1a19a0,"Deegan, L., Warren, S. & Mozdzer, T. (2022). Data from: “Marsh plant species shoot height, weight and diameters for Rowley River tidal creeks associated with long term fertilization experiments, Rowley and Ipswich, MA. ver 5.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/226fb7db2c7b9f8119e40c937b1a19a0"
AND,knb-lter-and.2742.28,10.6073/pasta/dc4be3db15934e0e5eb4820f56e5d569,"Franklin, J. F., Bell, D. M., Remillard, S. M., Pabst, R. J., Bluhm, A. & Powers, M. (2025). Data from: “Long-term growth, mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest, 1910 to present ver 28.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/dc4be3db15934e0e5eb4820f56e5d569"
HFR,knb-lter-hfr.5.37,10.6073/pasta/abf59a218a5868baf5b2c073a7dd1d7f,"Frey, S. & Melillo, J. (2024). Data from: “Prospect Hill Soil Warming Experiment at Harvard Forest since 1991 ver 37.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/abf59a218a5868baf5b2c073a7dd1d7f"
CAP,knb-lter-cap.632.17,10.6073/pasta/fd7e336a9493e780777d97bb08ff2352,"Grimm, N., Hall, S. J., Kaye, J. & Allen, J. (2024). Data from: “Desert Fertilization Experiment: investigation of Sonoran desert ecosystem response to atmospheric deposition and experimental nutrient addition, ongoing since 2006 ver 17.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/fd7e336a9493e780777d97bb08ff2352"
GCE,knb-lter-gce.786.13,10.6073/pasta/6df40a30859a7293db9a76fc4fff8cec,"Pennings, S. C. (2022). Data from: “Critical slowing down: vegetation height, cover and composition assess resilience of tidal fresh, brackish and salt marshes following experimental disturbance at twelve sites across the estuarine landscape ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/6df40a30859a7293db9a76fc4fff8cec"
SBC,knb-lter-sbc.119.13,10.6073/pasta/4c63cd36279b7e8448d09651a51ed8a6,"Reed, D. C. & Miller, R. J. (2024). Data from: “SBC LTER: Reef: Long-term experiment: biomass of kelp forest species, ongoing since 2008 ver 13.” Environmental Data Initiative. Available at: https://doi.org/10.6073/pasta/4c63cd36279b7e8448d09651a51ed8a6"
