"Field name ( Ignore this for this experiment)"	"Experiment number"	"Plot number"	"Sub plot number"	"Treatment number"	"Species and percent seed of total planted"	"Soil totaln N (mg/kg)(1989 samples)"	"Year"	"Species Name"	"Maximum species height (cm)"	"Median species height (cm)"	"Species Above ground biomass(g/m2)"	"Species proportion of total biomass"	"Date"	"Biomass"	"Prop"
E	55	1	6	16	SS30BG70	936.4	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	MISCELLANEOUS LITTER	 	 	0.9	 	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	12.32	0.930514	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	BOUTELOUA GRACILIS (BG)	 	 	0.92	0.069486	 	 	 
E	55	1	6	16	SS30BG70	936.4	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	MISCELLANEOUS LITTER	 	 	3.64	 	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	AGROPYRON SMITHII (AS)	 	 	18.200001	0.249315	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	BOUTELOUA GRACILIS (BG)	 	 	54.799999	0.750685	 	 	 
E	55	1	7	18	AS30BG70	818.9	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	8	22	AG70BG30	873	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	8	22	AG70BG30	873	1989	MISCELLANEOUS LITTER	 	 	3.92	 	 	 	 
E	55	1	8	22	AG70BG30	873	1989	ANDROPOGON GERARDI(AG)	 	 	30.880001	0.877273	 	 	 
E	55	1	8	22	AG70BG30	873	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	8	22	AG70BG30	873	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	8	22	AG70BG30	873	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	8	22	AG70BG30	873	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	8	22	AG70BG30	873	1989	BOUTELOUA GRACILIS (BG)	 	 	4.32	0.122727	 	 	 
E	55	1	8	22	AG70BG30	873	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	9	4	BG100	978.3	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	9	4	BG100	978.3	1989	MISCELLANEOUS LITTER	 	 	1.96	 	 	 	 
E	55	1	9	4	BG100	978.3	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	9	4	BG100	978.3	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	9	4	BG100	978.3	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	9	4	BG100	978.3	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	9	4	BG100	978.3	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	9	4	BG100	978.3	1989	BOUTELOUA GRACILIS (BG)	 	 	20.039999	1	 	 	 
E	55	1	9	4	BG100	978.3	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	MISCELLANEOUS LITTER	 	 	0.94	 	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	7.2	0.607083	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	10	17	SS70BG30	791.6	1989	BOUTELOUA GRACILIS (BG)	 	 	4.66	0.392917	 	 	 
