
# McMurdo Dry Valleys LTER - www.mcmlter.org
# 
#########################################################################################
# MCM LTER data may be used freely with the following restrictions:
# -The Principal Investigator be sent a notice stating reasons for 
# 	acquiring any data and a description of the publication intentions.
# -The Principal Investigator of the data set be sent a copy of any
# 	report or manuscript prior to submission and be adequately cited
# 	in any resultant publications.
# -A copy of any resultant publications should be sent to the MCM LTER data
# 	manager and PI.
# -The end-user follow the guidelines set forth in the LTER Network Data Access Policy, 
#	Data Access Requirements, and General Data Use Agreement found at:
# 	http://www.mcmlter.org/data_guidelines.htm
#########################################################################################
# 
# Query Executed: 2014-09-06 09:14:31.0
# 
# METADATA URLs (copy and paste links into your web browser):
# Stoichiometry Experiment- CO2  Metadata: 
# http://metacat.lternet.edu/knb/metacat?action=read&qformat=mcm&docid=knb-lter-mcm.4014&insertTemplate=0
# Units and Column Descriptions:
# http://metacat.lternet.edu/knb/metacat?action=read&qformat=mcm&docid=knb-lter-mcm.4014&insertTemplate=0&displaymodule=entity&entitytype=dataTable&entityindex=1
# 
# NOTICE: SOME DATA ARE NOT MADE PUBLIC UNTIL 2 YEARS AFTER THEY HAVE BEEN COLLECTED. THE RESULTS BELOW REPRESENT THE NEWEST AVAILABLE.

DATASET_CODE,BASIN,SAMPLE_ID,BLOCK_ID,TREATMENT,PRE_DATE_TIME,PRE_CO2,PRE_TEMP,PRE_MOISTURE,POST_DATE_TIME,POST_CO2,POST_TEMP,POST_MOISTURE,COMMENTS,DATE_TIME
SOILS_SE_CO2,Bonney,C5,5,C,,,,,2003-01-26 14:03:00,.1,8.76,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,C2,2,C,,,,,2003-01-26 13:21:00,.1917,7.76,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CN1,1,CN,,,,,2003-01-26 12:52:00,.0707,7.42,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CN2,2,CN,,,,,2003-01-26 13:18:00,.193,8.43,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CN5,5,CN,,,,,2003-01-26 13:51:00,.0994,6.69,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CN6,6,CN,,,,,2003-01-26 14:24:00,.139,7.67,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CP1,1,CP,,,,,2003-01-26 12:57:00,.0889,7.39,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CP2,2,CP,,,,,2003-01-26 13:34:00,.003,6.94,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CP5,5,CP,,,,,2003-01-26 13:47:00,.1167,7.67,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,CP6,6,CP,,,,,2003-01-26 14:10:00,-.0096,8.44,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,N1,1,N,,,,,2003-01-26 13:12:00,.0704,7.25,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,N2,2,N,,,,,2003-01-26 13:30:00,.083,6.56,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,N5,5,N,,,,,2003-01-26 13:40:00,.0477,8.22,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,N6,6,N,,,,,2003-01-26 14:13:00,.0468,7.71,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,P1,1,P,,,,,2003-01-26 13:06:00,.0585,6.74,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,P2,2,P,,,,,2003-01-26 13:25:00,.1343,8.19,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,P5,5,P,,,,,2003-01-26 13:54:00,.0912,7.69,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,P6,6,P,,,,,2003-01-26 14:20:00,.0232,7.81,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,U1,1,U,,,,,2003-01-26 12:49:00,.0381,5.51,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,U2,2,U,,,,,2003-01-26 13:28:00,.0284,6.92,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,U5,5,U,,,,,2003-01-26 14:00:00,.0522,7.62,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,U6,6,U,,,,,2003-01-26 14:16:00,.0342,6.51,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,W1,1,W,,,,,2003-01-26 13:01:00,.0661,6.3,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,W2,2,W,,,,,2003-01-26 13:15:00,.1177,9.15,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,W5,5,W,,,,,2003-01-26 13:44:00,.1607,8.47,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,W6,6,W,,,,,2003-01-26 14:35:00,.0551,7.32,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,C6,6,C,,,,,2003-01-26 14:30:00,.0749,7.74,,,2003-01-26 00:00:00
SOILS_SE_CO2,Bonney,C1,1,C,,,,,2003-01-26 12:54:00,.0787,7.6,,,2003-01-26 00:00:00
SOILS_SE_CO2,Fryxell,C5,5,C,,,,,2007-01-22 15:52:00,.347,6.2,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,C1,1,C,,,,,2007-01-22 14:55:00,.306,8.39,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CN1,1,CN,,,,,2007-01-22 14:53:00,.506,8.17,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CN2,2,CN,,,,,2007-01-22 15:24:00,.258,8.17,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CN5,5,CN,,,,,2007-01-22 15:41:00,.134,7.87,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CN6,6,CN,,,,,2007-01-22 16:11:00,.216,8.22,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CP1,1,CP,,,,,2007-01-22 14:58:00,.273,6.69,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CP2,2,CP,,,,,2007-01-22 15:10:00,.324,9.34,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CP5,5,CP,,,,,2007-01-22 15:38:00,.345,9.18,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,CP6,6,CP,,,,,2007-01-22 15:55:00,.243,7.4,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,N1,1,N,,,,,2007-01-22 15:07:00,.441,7.34,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,N2,2,N,,,,,2007-01-22 15:13:00,.204,7.25,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,N5,5,N,,,,,2007-01-22 15:32:00,.383,9.3,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,N6,6,N,,,,,2007-01-22 15:58:00,.367,7.68,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,P1,1,P,,,,,2007-01-22 15:03:00,.217,7.7,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,P2,2,P,,,,,2007-01-22 15:18:00,.251,5.28,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,P5,5,P,,,,,2007-01-22 15:35:00,.442,6.93,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,P6,6,P,,,,,2007-01-22 16:06:00,.098,6.63,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,U1,1,U,,,,,2007-01-22 14:50:00,.068,7.73,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,U2,2,U,,,,,2007-01-22 15:15:00,.046,6.55,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,U5,5,U,,,,,2007-01-22 15:48:00,.011,6.25,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,U6,6,U,,,,,2007-01-22 16:00:00,.103,6.67,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,W1,1,W,,,,,2007-01-22 15:00:00,.243,6.54,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,W2,2,W,,,,,2007-01-22 15:27:00,.368,8.19,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,W5,5,W,,,,,2007-01-22 15:44:00,.247,7.9,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,W6,6,W,,,,,2007-01-22 16:17:00,.072,8.28,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,C2,2,C,,,,,2007-01-22 15:21:00,.239,7.7,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,C6,6,C,,,,,2007-01-22 16:14:00,.417,7.31,,,2007-01-22 00:00:00
SOILS_SE_CO2,Fryxell,P7,7,P,2007-12-24 00:00:00,,,,2008-01-15 13:52:00,.14,9.8,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,P8,8,P,2007-12-24 00:00:00,,,,2008-01-15 15:27:00,.12,10.86,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U1,1,U,2007-12-24 00:00:00,.12,,,2008-01-15 10:56:00,.17,2.61,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U2,2,U,2007-12-24 00:00:00,.18,,,2008-01-15 11:25:00,.09,4.05,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U3,3,U,2007-12-24 00:00:00,,,,2008-01-15 14:15:00,.08,5.05,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U4,4,U,2007-12-24 00:00:00,,,,2008-01-15 14:39:00,.11,4.5,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U5,5,U,2007-12-24 00:00:00,.12,,,2008-01-15 12:02:00,.1,.86,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U6,6,U,2007-12-24 00:00:00,.09,,,2008-01-15 12:24:00,.17,1.81,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U7,7,U,2007-12-24 00:00:00,,,,2008-01-15 14:09:00,.19,3.48,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,U8,8,U,2007-12-24 00:00:00,,,,2008-01-15 15:18:00,.12,9.22,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W1,1,W,2007-12-24 00:00:00,.09,,,2008-01-15 11:08:00,.05,3.98,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W2,2,W,2007-12-24 00:00:00,-.03,,,2008-01-15 11:37:00,.18,1.36,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W3,3,W,2007-12-24 00:00:00,,,,2008-01-15 14:18:00,.08,7.82,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W4,4,W,2007-12-24 00:00:00,,,,2008-01-15 14:42:00,.16,7.19,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W5,5,W,2007-12-24 00:00:00,.07,,,2008-01-15 11:58:00,.2,1.64,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W6,6,W,2007-12-24 00:00:00,-.04,,,2008-01-15 12:10:00,.06,3.01,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W7,7,W,2007-12-24 00:00:00,,,,2008-01-15 14:04:00,.22,11.33,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,W8,8,W,2007-12-24 00:00:00,,,,2008-01-15 15:35:00,.19,7.07,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,C8,8,C,2007-12-24 00:00:00,,,,2008-01-15 15:32:00,.22,9.69,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN1,1,CN,2007-12-24 00:00:00,.19,,,2008-01-15 10:59:00,.17,1.87,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN2,2,CN,2007-12-24 00:00:00,.3,,,2008-01-15 11:34:00,.11,1.66,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN3,3,CN,2007-12-24 00:00:00,,,,2008-01-15 14:13:00,.16,5.62,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN4,4,CN,2007-12-24 00:00:00,,,,2008-01-15 14:47:00,.49,10.82,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN5,5,CN,2007-12-24 00:00:00,.1,,,2008-01-15 11:55:00,.33,2.84,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN6,6,CN,2007-12-24 00:00:00,.14,,,2008-01-15 12:15:00,.39,2.38,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN7,7,CN,2007-12-24 00:00:00,,,,2008-01-15 14:01:00,.48,10.49,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CN8,8,CN,2007-12-24 00:00:00,,,,2008-01-15 15:21:00,.39,11.27,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CP1,1,CP,2007-12-24 00:00:00,.11,,,2008-01-15 11:04:00,.2,2.4,,,2008-01-15 00:00:00
SOILS_SE_CO2,Fryxell,CP2,2,CP,2007-12-24 00:00:00,.12,,,2008-01-15 11:18:00,.1,2.59,,,2008-01-15 00:00:00
