"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	1	960723	0--20	3191	0.04035	0.43905	10.8805
123	1	960723	40--60	3192	0.02648	0.26757	10.1053
123	2	960723	0--20	3193	0.03987	0.47084	11.8087
123	2	960723	40--60	3194	0.02556	0.27365	10.7077
123	3	960723	0--20	3195	0.04209	0.45443	10.7958
123	3	960723	40--60	3196	0.02461	0.27191	11.0476
123	4	960723	0--20	3197	0.05027	0.59068	11.7498
123	4	960723	40--60	3198	0.02901	0.31382	10.816
123	5	960723	0--20	3199	0.05575	0.66093	11.8551
123	5	960723	40--60	3200	0.02841	0.30064	10.5841
123	6	960723	0--20	3201	0.04767	0.53734	11.2717
123	6	960723	40--60	3202	0.02949	0.31105	10.5479
123	7	960723	0--20	3203	0.04686	0.55026	11.7414
123	7	960723	40--60	3204	0.03072	0.35563	11.5783
123	8	960723	0--20	3205	0.03397	0.41414	12.1899
123	8	960723	40--60	3206	0.02638	0.27967	10.6014
123	9	960723	0--20	3207	0.05613	0.66337	11.8183
123	9	960723	40--60	3208	0.02795	0.29379	10.5097
123	10	960723	0--20	3209	0.03402	0.37516	11.0269
123	10	960723	40--60	3210	0.03071	0.32459	10.5688
123	11	960723	0--20	3211	0.05075	0.5719	11.2692
123	11	960723	40--60	3212	0.02319	0.24277	10.4667
123	12	960723	0--20	3213	0.05064	0.58251	11.503
123	12	960723	40--60	3214	0.0298	0.34522	11.5848
123	13	960723	0--20	3215	0.07153	0.87416	12.2207
123	13	960723	40--60	3216	0.02931	0.33252	11.3438
123	14	960723	0--20	3217	0.04603	0.52662	11.4418
123	14	960723	40--60	3218	0.023	0.24479	10.6435
123	15	960723	0--20	3219	0.04411	0.55193	12.5115
123	15	960723	40--60	3220	0.02351	0.22434	9.5411
123	16	960723	0--20	3221	0.04574	0.50775	11.0996
123	16	960723	40--60	3222	0.03398	0.37618	11.0716
123	17	960723	0--20	3223	0.05843	0.67993	11.6368
123	17	960723	40--60	3224	0.03801	0.39319	10.3445
123	18	960723	0--20	3225	0.04315	0.47278	10.9561
123	18	960723	40--60	3226	0.02114	0.2101	9.9396
123	19	960723	0--20	3227	0.04553	0.4961	10.8969
123	19	960723	40--60	3228	0.02699	0.28571	10.5851
123	20	960723	0--20	3229	0.03434	0.39824	11.5955
123	20	960723	40--60	3230	0.03019	0.30324	10.0443
123	21	960723	0--20	3231	0.04145	0.44141	10.6489
123	21	960723	40--60	3232	0.02043	0.20338	9.9559
123	22	960723	0--20	3233	0.03723	0.40153	10.7837
123	22	960723	40--60	3234	0.02829	0.29215	10.3258
123	23	960723	0--20	3235	0.03758	0.40872	10.8751
123	23	960723	40--60	3236	0.03453	0.35853	10.3845
123	24	960723	0--20	3237	0.05972	0.66817	11.188
123	24	960723	40--60	3238	0.03666	0.38869	10.6028
123	25	960723	0--20	3239	0.04582	0.50181	10.9524
123	25	960723	40--60	3240	0.02545	0.26276	10.3264
123	26	960723	0--20	3241	0.0435	0.48132	11.0655
123	26	960723	40--60	3242	0.03373	0.35401	10.4969
123	27	960723	0--20	3243	0.04645	0.55397	11.9257
123	27	960723	40--60	3244	0.02541	0.28341	11.1544
123	28	960723	0--20	3245	0.05456	0.60861	11.1551
123	28	960723	40--60	3246	0.02332	0.24506	10.5079
123	29	960723	0--20	3247	0.05318	0.69573	13.0829
123	29	960723	40--60	3248	0.02224	0.2157	9.7
123	30	960723	0--20	3249	0.05335	0.57295	10.74
123	30	960723	40--60	3250	0.02667	0.26852	10.0699
123	31	960723	0--20	3251	0.05051	0.57011	11.2864
123	31	960723	40--60	3252	0.03483	0.3482	9.9984
123	32	960723	0--20	3253	0.04663	0.48038	10.3016
123	32	960723	40--60	3254	0.03056	0.33182	10.8591
123	33	960723	0--20	3255	0.03848	0.41671	10.83
123	33	960723	40--60	3256	0.02347	0.24943	10.6258
123	34	960723	0--20	3257	0.03481	0.38865	11.1665
123	34	960723	40--60	3258	0.02095	0.2214	10.5674
123	35	960723	0--20	3259	0.03186	0.37656	11.8183
123	35	960723	40--60	3260	0.01976	0.19259	9.7449
123	36	960723	0--20	3260	0.02972	0.3281	11.0402
