"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	80	960726	ROOTS	0--30	5831	0.93466	35.9469	38.46
123	81	960726	ROOTS	0--30	5832	1.37842	30.5434	22.158
123	82	960726	ROOTS	0--30	5833	1.23818	35.5276	28.693
123	83	960726	ROOTS	0--30	5834	0.8003	39.4182	49.254
123	84	960726	ROOTS	0--30	5835	1.33021	34.1309	25.658
123	85	960726	ROOTS	0--30	5836	1.16245	34.4	29.593
123	86	960726	ROOTS	0--30	5837	0.76204	23.3161	30.597
123	87	960726	ROOTS	0--30	5838	0.83827	29.1831	34.814
123	88	960726	ROOTS	0--30	5839	1.05205	36.2156	34.424
123	89	960726	ROOTS	0--30	5840	0.9061	24.5543	27.099
123	90	960726	ROOTS	0--30	5841	0.87344	35.1301	40.22
123	91	960726	ROOTS	0--30	5842	0.75294	30.9731	41.136
123	92	960726	ROOTS	0--30	5843	0.68836	17.5959	25.562
123	93	960726	ROOTS	0--30	5844	0.97527	28.0559	28.767
123	94	960726	ROOTS	0--30	5845	1.02882	31.3019	30.425
123	95	960726	ROOTS	0--30	5846	1.14359	33.3185	29.135
123	96	960726	ROOTS	0--30	5847	0.43957	27.7751	63.187
123	97	960726	ROOTS	0--30	5848	1.12174	31.9856	28.514
123	98	960726	ROOTS	0--30	5849	0.93051	32.0726	34.468
123	99	960726	ROOTS	0--30	5850	1.08538	38.0094	35.019
123	100	960726	ROOTS	0--30	5851	0.97547	39.6898	40.688
123	101	960726	ROOTS	0--30	5852	0.91043	24.3373	26.732
123	102	960729	ROOTS	0--30	5853	1.04088	40.4355	38.847
123	103	960729	ROOTS	0--30	5854	0.84858	33.2751	39.213
123	104	960729	ROOTS	0--30	5855	0.77044	32.0365	41.582
123	105	960729	ROOTS	0--30	5856	0.62132	23.6844	38.119
123	106	960729	ROOTS	0--30	5857	0.98205	34.1287	34.753
123	107	960729	ROOTS	0--30	5858	0.96191	34.4086	35.771
123	108	960729	ROOTS	0--30	5859	0.70494	40.8349	57.927
123	109	960729	ROOTS	0--30	5860	1.22014	31.1657	25.543
123	110	960729	ROOTS	0--30	5861	0.85762	34.4246	40.14
123	111	960729	ROOTS	0--30	5862	1.15527	37.0892	32.104
123	112	960729	ROOTS	0--30	5863	0.57279	40.6576	70.981
123	113	960729	ROOTS	0--30	5864	1.32224	40.9939	31.003
123	114	960729	ROOTS	0--30	5865	0.70014	27.0609	38.651
123	115	960729	ROOTS	0--30	5866	0.69124	27.3849	39.617
123	116	960729	ROOTS	0--30	5867	1.0993	38.1928	34.743
123	117	960729	ROOTS	0--30	5868	1.10453	35.773	32.387
123	118	960729	ROOTS	0--30	5869	0.51053	29.0596	56.921
123	119	960729	ROOTS	0--30	5870	0.85604	34.6903	40.524
