"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	113	 	 	 	26956	1.063066	42.34381	39.83178
123	114	 	 	 	26957	0.594925	39.55041	66.47966
123	115	 	 	 	26958	0.5892334	40.65145	68.9904
123	116	 	 	 	26959	0.7780294	40.72037	52.33783
123	117	 	 	 	26960	0.7787392	37.68599	48.3936
123	118	 	 	 	26961	0.8247155	40.3592	48.93712
123	119	 	 	 	26962	0.7017785	40.5767	57.81981
123	120	 	 	 	26963	0.6394087	39.45308	61.70244
123	121	 	 	 	26964	0.6332036	39.65637	62.62815
123	122	 	 	 	26965	0.8699505	40.05343	46.04104
123	123	 	 	 	26966	1.131339	38.25587	33.81468
123	124	 	 	 	26967	0.8356198	42.13042	50.41817
123	125	 	 	 	26968	1.860093	45.34886	24.37989
123	126	 	 	 	26969	0.6428844	40.01454	62.2422
123	127	 	 	 	26970	1.408188	42.33509	30.06352
123	128	 	 	 	26971	0.4834718	40.02512	82.78688
123	129	 	 	 	26972	0.8170686	39.07894	47.82822
123	130	 	 	 	26973	0.9925978	41.9509	42.26374
123	131	 	 	 	26974	0.6724024	42.09269	62.60045
123	132	 	 	 	26975	0.7722958	40.92411	52.9902
123	133	 	 	 	26976	0.7893078	39.94783	50.61122
123	134	 	 	 	26977	0.601535	39.95964	66.42945
123	135	 	 	 	26978	0.7018089	42.37735	60.38303
123	136	 	 	 	26979	0.5632337	39.05862	69.34709
123	137	 	 	 	26980	0.774567	38.1398	49.24016
123	138	 	 	 	26981	0.8358094	41.13958	49.22125
123	139	 	 	 	26982	0.8316443	40.39253	48.56948
123	140	 	 	 	26983	1.12825	41.27435	36.58263
123	141	 	 	 	26984	0.6031925	33.40086	55.37347
123	142	 	 	 	26985	0.663576	40.13156	60.47771
123	143	 	 	 	26986	0.4974066	35.90786	72.19016
123	144	 	 	 	26987	0.7207624	42.14054	58.46662
123	145	 	 	 	26988	0.6367186	38.7299	60.82734
123	146	 	 	 	26989	0.627443	33.23619	52.97085
123	147	 	 	 	26990	0.8849849	38.19333	43.15704
