"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Root biomass (g/m2)"	"Depth"	"Strip"	"Grazed"
123	1	970721	687.45	 	 	 
123	2	970721	524.63	 	 	 
123	3	970721	1738.35	 	 	 
123	4	970721	118.41	 	 	 
123	5	970721	1787.69	 	 	 
123	6	970721	131.57	 	 	 
123	7	970721	776.25	 	 	 
123	8	970721	1011.43	 	 	 
123	9	970721	110.19	 	 	 
123	10	970721	675.93	 	 	 
123	11	970721	100.32	 	 	 
123	12	970721	460.49	 	 	 
123	13	970721	481.87	 	 	 
123	14	970721	945.65	 	 	 
123	15	970721	1277.86	 	 	 
123	16	970721	524.63	 	 	 
123	17	970721	450.62	 	 	 
123	18	970721	292.74	 	 	 
123	19	970721	955.52	 	 	 
123	20	970721	69.07	 	 	 
123	21	970721	131.57	 	 	 
123	22	970721	215.44	 	 	 
123	23	970721	108.54	 	 	 
123	24	970721	636.46	 	 	 
123	25	970721	564.1	 	 	 
123	26	970721	529.56	 	 	 
123	27	970721	254.91	 	 	 
123	28	970721	1014.72	 	 	 
123	29	970721	1730.13	 	 	 
123	30	970721	296.03	 	 	 
123	31	970721	444.04	 	 	 
123	32	970721	1769.6	 	 	 
123	33	970721	721.98	 	 	 
123	34	970721	513.12	 	 	 
123	35	970721	440.75	 	 	 
123	36	970721	485.16	 	 	 
123	37	970721	2136.34	 	 	 
123	38	970721	407.86	 	 	 
123	39	970721	391.42	 	 	 
123	40	970721	302.61	 	 	 
123	41	970721	496.67	 	 	 
123	42	970721	552.59	 	 	 
123	43	970721	314.12	 	 	 
123	44	970721	389.77	 	 	 
123	45	970721	1274.57	 	 	 
123	46	970721	1388.05	 	 	 
123	47	970721	162.82	 	 	 
123	48	970721	223.67	 	 	 
123	49	970721	1391.34	 	 	 
123	50	970721	222.02	 	 	 
123	51	970721	259.85	 	 	 
123	52	970722	682.51	 	 	 
123	53	970722	281.23	 	 	 
123	54	970722	470.36	 	 	 
123	55	970722	399.64	 	 	 
123	56	970722	273	 	 	 
123	57	970722	740.07	 	 	 
123	58	970722	754.87	 	 	 
123	59	970722	148.01	 	 	 
123	60	970722	437.47	 	 	 
123	61	970722	700.6	 	 	 
123	62	970722	437.47	 	 	 
123	63	970722	253.27	 	 	 
123	64	970722	297.67	 	 	 
123	65	970722	167.75	 	 	 
123	66	970722	212.15	 	 	 
123	67	970722	496.67	 	 	 
123	68	970722	876.57	 	 	 
123	69	970722	2243.24	 	 	 
123	70	970722	333.85	 	 	 
123	71	970722	695.67	 	 	 
123	72	970722	669.35	 	 	 
123	73	970722	473.65	 	 	 
123	74	970722	1213.72	 	 	 
123	75	970722	620.02	 	 	 
123	76	970722	499.96	 	 	 
123	77	970722	522.98	 	 	 
123	78	970722	838.75	 	 	 
123	79	970722	287.81	 	 	 
123	80	970722	763.1	 	 	 
123	81	970722	185.84	 	 	 
123	82	970722	680.87	 	 	 
123	83	970722	539.43	 	 	 
123	84	970723	1526.19	 	 	 
123	85	970722	1524.55	 	 	 
123	86	970722	713.76	 	 	 
123	87	970722	577.26	 	 	 
123	88	970722	546.01	 	 	 
123	89	970722	585.48	 	 	 
123	90	970722	46.05	 	 	 
123	91	970722	575.61	 	 	 
123	92	970722	208.86	 	 	 
123	93	970722	2279.42	 	 	 
123	94	970723	1070.64	 	 	 
123	95	970722	809.15	 	 	 
123	96	970723	993.34	 	 	 
123	97	970723	812.44	 	 	 
123	98	970723	1342	 	 	 
123	99	970723	460.49	 	 	 
123	100	970723	698.96	 	 	 
123	101	970723	855.19	 	 	 
123	102	970723	481.87	 	 	 
123	103	970723	613.44	 	 	 
123	104	970723	472	 	 	 
123	105	970723	225.31	 	 	 
123	106	970723	136.5	 	 	 
123	107	970723	871.64	 	 	 
123	108	970723	327.28	 	 	 
123	109	970723	402.93	 	 	 
123	110	970723	766.39	 	 	 
123	111	970723	769.68	 	 	 
123	112	970723	516.41	 	 	 
123	113	970723	434.18	 	 	 
123	114	970723	182.55	 	 	 
123	115	970723	513.12	 	 	 
123	116	970723	902.89	 	 	 
123	117	970723	1116.69	 	 	 
123	118	970723	299.32	 	 	 
123	119	970723	1062.42	 	 	 
123	120	970723	467.07	 	 	 
123	121	970723	794.34	 	 	 
123	122	970723	865.06	 	 	 
123	123	970723	315.76	 	 	 
123	124	970723	929.2	 	 	 
123	125	970723	379.9	 	 	 
123	126	970723	396.35	 	 	 
123	127	970723	491.74	 	 	 
123	128	970723	3007.98	 	 	 
123	129	970723	583.84	 	 	 
123	130	970723	121.7	 	 	 
123	131	970723	942.36	 	 	 
123	132	970723	934.14	 	 	 
123	133	970723	562.46	 	 	 
123	134	970723	578.9	 	 	 
123	135	970723	1973.53	 	 	 
123	136	970723	855.19	 	 	 
123	137	970723	657.84	 	 	 
123	138	970723	1031.17	 	 	 
123	139	970723	498.32	 	 	 
123	140	970723	393.06	 	 	 
123	141	970723	779.54	 	 	 
123	142	970723	376.61	 	 	 
123	143	970723	1588.69	 	 	 
123	144	970723	894.67	 	 	 
123	145	970723	1027.88	 	 	 
123	146	970723	598.64	 	 	 
123	147	970723	468.71	 	 	 
 	1	980721	340.77	0-10 cm	 	 
 	1	980721	212.26	10-20 cm	 	 
 	1	980721	113.78	20-30 cm	 	 
