"Data set title: Christopher B. Craft. 2018. Sediment elevation measurements from the GCE LTER Seawater Addition Long-Term Experiment (SALTEx) sampling sites from July 2013 to August 2022. Georgia Coastal Ecosystems LTER Data Catalog (data set GEL-GCED-1802; /data/GEL-GCED-1802)",,,,,,,,
,,,,,,,,,
"Sample_Date","Plot","Treatment","Moved_From","Replicate","Arm","Pin_Number","Elevation","Flag_Elevation"
"YYYY-MM-DD","none","none","none","none","none","none","mm","none"
"datetime","text","text","text","ordinal","ordinal","ordinal","data","code"
2013-07-15,"X2","C","",2,1,1,235,""
2013-07-15,"X2","C","",2,1,2,220,""
2013-07-15,"X2","C","",2,1,3,221,""
2013-07-15,"X2","C","",2,1,4,220,""
2013-07-15,"X2","C","",2,1,5,,""
2013-07-15,"X2","C","",2,1,6,225,""
2013-07-15,"X2","C","",2,1,7,232,""
2013-07-15,"X2","C","",2,1,8,227,""
2013-07-15,"X2","C","",2,1,9,234,""
2013-07-15,"X2","C","",2,2,1,,""
2013-07-15,"X2","C","",2,2,2,224,""
2013-07-15,"X2","C","",2,2,3,,""
2013-07-15,"X2","C","",2,2,4,,""
2013-07-15,"X2","C","",2,2,5,,""
2013-07-15,"X2","C","",2,2,6,224,""
2013-07-15,"X2","C","",2,2,7,226,""
2013-07-15,"X2","C","",2,2,8,224,""
2013-07-15,"X2","C","",2,2,9,224,""
2013-07-15,"X2","C","",2,8,1,,""
2013-07-15,"X2","C","",2,8,2,,""
2013-07-15,"X2","C","",2,8,3,226,""
2013-07-15,"X2","C","",2,8,4,228,""
2013-07-15,"X2","C","",2,8,5,215,""
2013-07-15,"X2","C","",2,8,6,225,""
2013-07-15,"X2","C","",2,8,7,229,""
2013-07-15,"X2","C","",2,8,8,227,""
2013-07-15,"X2","C","",2,8,9,224,""
2013-07-15,"X3","C","",3,1,1,259,""
2013-07-15,"X3","C","",3,1,2,253,""
2013-07-15,"X3","C","",3,1,3,250,""
2013-07-15,"X3","C","",3,1,4,250,""
2013-07-15,"X3","C","",3,1,5,250,""
2013-07-15,"X3","C","",3,1,6,252,""
2013-07-15,"X3","C","",3,1,7,244,""
2013-07-15,"X3","C","",3,1,8,,""
2013-07-15,"X3","C","",3,1,9,250,""
2013-07-15,"X3","C","",3,2,1,260,""
2013-07-15,"X3","C","",3,2,2,259,""
2013-07-15,"X3","C","",3,2,3,257,""
2013-07-15,"X3","C","",3,2,4,259,""
2013-07-15,"X3","C","",3,2,5,252,""
2013-07-15,"X3","C","",3,2,6,262,""
2013-07-15,"X3","C","",3,2,7,,""
2013-07-15,"X3","C","",3,2,8,261,""
2013-07-15,"X3","C","",3,2,9,264,""
2013-07-15,"X3","C","",3,3,1,,""
2013-07-15,"X3","C","",3,3,2,245,""
2013-07-15,"X3","C","",3,3,3,247,""
2013-07-15,"X3","C","",3,3,4,252,""
2013-07-15,"X3","C","",3,3,5,256,""
2013-07-15,"X3","C","",3,3,6,252,""
2013-07-15,"X3","C","",3,3,7,258,""
2013-07-15,"X3","C","",3,3,8,,""
2013-07-15,"X3","C","",3,3,9,246,""
2013-07-15,"X4","C","",4,1,1,256,""
2013-07-15,"X4","C","",4,1,2,251,""
2013-07-15,"X4","C","",4,1,3,250,""
2013-07-15,"X4","C","",4,1,4,257,""
2013-07-15,"X4","C","",4,1,5,254,""
2013-07-15,"X4","C","",4,1,6,254,""
2013-07-15,"X4","C","",4,1,7,,""
2013-07-15,"X4","C","",4,1,8,248,""
2013-07-15,"X4","C","",4,1,9,248,""
2013-07-15,"X4","C","",4,2,1,261,""
2013-07-15,"X4","C","",4,2,2,257,""
2013-07-15,"X4","C","",4,2,3,264,""
2013-07-15,"X4","C","",4,2,4,262,""
2013-07-15,"X4","C","",4,2,5,261,""
2013-07-15,"X4","C","",4,2,6,269,""
2013-07-15,"X4","C","",4,2,7,267,""
2013-07-15,"X4","C","",4,2,8,273,""
2013-07-15,"X4","C","",4,2,9,,""
2013-07-15,"X4","C","",4,3,1,264,""
2013-07-15,"X4","C","",4,3,2,261,""
2013-07-15,"X4","C","",4,3,3,270,""
2013-07-15,"X4","C","",4,3,4,267,""
2013-07-15,"X4","C","",4,3,5,277,""
2013-07-15,"X4","C","",4,3,6,,""
2013-07-15,"X4","C","",4,3,7,261,""
2013-07-15,"X4","C","",4,3,8,274,""
2013-07-15,"X4","C","",4,3,9,282,""
2013-07-15,"X6","C","",6,5,1,256,""
2013-07-15,"X6","C","",6,5,2,253,""
2013-07-15,"X6","C","",6,5,3,248,""
2013-07-15,"X6","C","",6,5,4,254,""
2013-07-15,"X6","C","",6,5,5,,""
2013-07-15,"X6","C","",6,5,6,257,""
2013-07-15,"X6","C","",6,5,7,253,""
2013-07-15,"X6","C","",6,5,8,258,""
2013-07-15,"X6","C","",6,5,9,260,""
2013-07-15,"X6","C","",6,6,1,237,""
2013-07-15,"X6","C","",6,6,2,239,""
2013-07-15,"X6","C","",6,6,3,240,""
2013-07-15,"X6","C","",6,6,4,244,""
2013-07-15,"X6","C","",6,6,5,236,""
2013-07-15,"X6","C","",6,6,6,,""
2013-07-15,"X6","C","",6,6,7,232,""
2013-07-15,"X6","C","",6,6,8,235,""
2013-07-15,"X6","C","",6,6,9,236,""
2013-07-15,"X6","C","",6,7,1,,""
2013-07-15,"X6","C","",6,7,2,237,""
2013-07-15,"X6","C","",6,7,3,245,""
2013-07-15,"X6","C","",6,7,4,241,""
2013-07-15,"X6","C","",6,7,5,238,""
2013-07-15,"X6","C","",6,7,6,,""
2013-07-15,"X6","C","",6,7,7,233,""
2013-07-15,"X6","C","",6,7,8,226,""
2013-07-15,"X6","C","",6,7,9,231,""
2013-07-15,"B1","CS","",1,1,1,,""
2013-07-15,"B1","CS","",1,1,2,319,""
2013-07-15,"B1","CS","",1,1,3,324,""
2013-07-15,"B1","CS","",1,1,4,317,""
2013-07-15,"B1","CS","",1,1,5,320,""
2013-07-15,"B1","CS","",1,1,6,324,""
2013-07-15,"B1","CS","",1,1,7,325,""
2013-07-15,"B1","CS","",1,1,8,325,""
2013-07-15,"B1","CS","",1,1,9,323,""
2013-07-15,"B1","CS","",1,2,1,312,""
2013-07-15,"B1","CS","",1,2,2,302,""
2013-07-15,"B1","CS","",1,2,3,315,""
2013-07-15,"B1","CS","",1,2,4,300,""
2013-07-15,"B1","CS","",1,2,5,,""
2013-07-15,"B1","CS","",1,2,6,311,""
2013-07-15,"B1","CS","",1,2,7,312,""
2013-07-15,"B1","CS","",1,2,8,311,""
2013-07-15,"B1","CS","",1,2,9,315,""
2013-07-15,"B1","CS","",1,3,1,,""
2013-07-15,"B1","CS","",1,3,2,,""
2013-07-15,"B1","CS","",1,3,3,,""
2013-07-15,"B1","CS","",1,3,4,,""
2013-07-15,"B1","CS","",1,3,5,,""
2013-07-15,"B1","CS","",1,3,6,,""
2013-07-15,"B1","CS","",1,3,7,,""
2013-07-15,"B1","CS","",1,3,8,,""
2013-07-15,"B1","CS","",1,3,9,,""
2013-07-15,"B5","CS","",5,3,1,,""
2013-07-15,"B5","CS","",5,3,2,,""
2013-07-15,"B5","CS","",5,3,3,266,""
2013-07-15,"B5","CS","",5,3,4,,""
2013-07-15,"B5","CS","",5,3,5,279,""
2013-07-15,"B5","CS","",5,3,6,276,""
2013-07-15,"B5","CS","",5,3,7,271,""
2013-07-15,"B5","CS","",5,3,8,269,""
2013-07-15,"B5","CS","",5,3,9,270,""
2013-07-15,"B5","CS","",5,4,1,276,""
2013-07-15,"B5","CS","",5,4,2,271,""
2013-07-15,"B5","CS","",5,4,3,267,""
2013-07-15,"B5","CS","",5,4,4,275,""
2013-07-15,"B5","CS","",5,4,5,272,""
2013-07-15,"B5","CS","",5,4,6,266,""
2013-07-15,"B5","CS","",5,4,7,273,""
2013-07-15,"B5","CS","",5,4,8,274,""
2013-07-15,"B5","CS","",5,4,9,271,""
2013-07-15,"B5","CS","",5,5,1,263,""
2013-07-15,"B5","CS","",5,5,2,267,""
2013-07-15,"B5","CS","",5,5,3,272,""
2013-07-15,"B5","CS","",5,5,4,276,""
2013-07-15,"B5","CS","",5,5,5,280,""
2013-07-15,"B5","CS","",5,5,6,279,""
2013-07-15,"B5","CS","",5,5,7,278,""
2013-07-15,"B5","CS","",5,5,8,283,""
2013-07-15,"B5","CS","",5,5,9,284,""
2013-07-15,"C2","CS","PR2",3,4,1,248,""
2013-07-15,"C2","CS","PR2",3,4,2,251,""
2013-07-15,"C2","CS","PR2",3,4,3,251,""
2013-07-15,"C2","CS","PR2",3,4,4,249,""
2013-07-15,"C2","CS","PR2",3,4,5,248,""
2013-07-15,"C2","CS","PR2",3,4,6,,""
2013-07-15,"C2","CS","PR2",3,4,7,247,""
2013-07-15,"C2","CS","PR2",3,4,8,246,""
2013-07-15,"C2","CS","PR2",3,4,9,247,""
2013-07-15,"C2","CS","PR2",3,5,1,259,""
2013-07-15,"C2","CS","PR2",3,5,2,257,""
2013-07-15,"C2","CS","PR2",3,5,3,256,""
2013-07-15,"C2","CS","PR2",3,5,4,258,""
2013-07-15,"C2","CS","PR2",3,5,5,258,""
2013-07-15,"C2","CS","PR2",3,5,6,256,""
2013-07-15,"C2","CS","PR2",3,5,7,265,""
2013-07-15,"C2","CS","PR2",3,5,8,262,""
2013-07-15,"C2","CS","PR2",3,5,9,261,""
2013-07-15,"C2","CS","PR2",3,6,1,258,""
2013-07-15,"C2","CS","PR2",3,6,2,259,""
2013-07-15,"C2","CS","PR2",3,6,3,260,""
2013-07-15,"C2","CS","PR2",3,6,4,255,""
2013-07-15,"C2","CS","PR2",3,6,5,245,""
2013-07-15,"C2","CS","PR2",3,6,6,252,""
2013-07-15,"C2","CS","PR2",3,6,7,,""
2013-07-15,"C2","CS","PR2",3,6,8,256,""
