"Trend Type","N","Mean Ratio (SD)","Median Ratio","Mean CV","Median CV","Mean Duration (yr)","Median Duration (yr)"
"stable",41,"1.42 (0.44)","1.33","0.195","0.206","11.2","9.0"
"variable",20,"1.75 (0.78)","1.55","0.541","0.505","20.2","14.0"
"increasing",16,"1.37 (0.57)","1.36","0.605","0.685","26.3","34.0"
"decreasing",6,"1.74 (0.63)","1.70","0.233","0.208","18.2","19.5"
