dataset_id,site_abbr,edi_package_id,edi_entity_id,download_url,doi,source_type,preprocess_function,ready_filename,column_key_source,include,title,notes
CDR_BioCON_biomass,CDR,knb-lter-cdr.302.13,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.302.13,10.6073/pasta/c153c4eb2414bb1ec2ab8b07adc17ef2,edi,preprocess_cdr_biocon_biomass,CDR_Biomass_1998-2021_gm2_processed.csv,CDR_Biomass_1998-2021_gm2_processed.csv,TRUE,"Plant aboveground biomass data: BioCON",BioCON elevated CO2 and N enrichment 1998-2021
CDR_soil_biomass_pctC,CDR,knb-lter-cdr.449.9,af437c418e263f89f1f83dc086b933f8,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.449.9,10.6073/pasta/10dfeaaf9068e99246ca8b6c4ad14c50,edi,preprocess_cdr_soil_biomass,CDR_SoilBiomass_1982-2018_%C_processed.csv,CDR_SoilBiomass_1982-2018_%C_processed.csv,TRUE,"Soil carbon: Long-Term Nitrogen Deposition During Grassland Succession (E002)",N deposition experiment soil %C 1982-2018
CDR_sIDE_biomass,CDR,knb-lter-cdr.707.2,16ef6f9eb6480faf9714019ed029951e,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.707.2,10.6073/pasta/52374ac26212223e10d9dfce9ada0d3a,edi,preprocess_cdr_side_biomass,CDR_AbovegroundBiomass_2016-2020_gm2_processed.csv,CDR_AbovegroundBiomass_2016-2020_gm2_processed.csv,TRUE,"DroughtNet sIDE: Aboveground Biomass",sIDE savanna drought experiment biomass 2016-2020
CDR_sIDE_pctcover,CDR,knb-lter-cdr.708.2,f7fdab005873cde225c54fd7217dc397,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.708.2,10.6073/pasta/b7cc26d22f6bdb206614700d88c494e2,edi,preprocess_cdr_side_pctcover,CDR_sIDEPercentCover_2016-2020_processed.csv,CDR_sIDEPercentCover_2016-2020_processed.csv,FALSE,"DroughtNet sIDE: Percent Cover",EXCLUDED: percent cover is not a carbon measurement
CDR_tIDE_pctcover,CDR,knb-lter-cdr.710.2,27b6a209582192b8d809129effb002dd,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.710.2,10.6073/pasta/0dea1e568b1a3a0889a43d896df42453,edi,preprocess_cdr_tide_pctcover,CDR_tIDEPercentCover_2016-2020_processed.csv,CDR_tIDEPercentCover_2016-2020_processed.csv,FALSE,"DroughtNet tIDE: Percent Cover",EXCLUDED: percent cover is not a carbon measurement
CDR_small_biodiv_biomass,CDR,knb-lter-cdr.291.8,c087b9bdc1b35a94d441f3d339ec3a28,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.291.8,10.6073/pasta/002f99b3e702e08e6f97ccc65b87a695,edi,preprocess_cdr_small_biodiv,CDR_AbovegroundBiomass_1995-2005_gm2_processed.csv,CDR_AbovegroundBiomass_1995-2005_gm2_processed.csv,TRUE,"Plant aboveground biomass data: The Small Biodiversity Experiment",Small biodiversity experiment 1995-2005
CDR_pctcarbon_E001,CDR,knb-lter-cdr.472.8,53745d01637c42fe32d7bc07d86bf940,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.472.8,10.6073/pasta/84650d56a78421d0c5eb0585397b8f99,edi,preprocess_cdr_pctcarbon,CDR_PercentCarbon_1982-2011_processed.csv,CDR_PercentCarbon_1982-2011_processed.csv,TRUE,"Soil carbon: Long-Term Nitrogen Deposition (E001)",E001 long-term N deposition soil %C 1982-2011
CDR_soil_carbon_flux,CDR,knb-lter-cdr.590.8,6ea18d5cce9f98420fcea3c4d458a351,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cdr.590.8,10.6073/pasta/9b3b5da11be571cb698aae0dc3daec1a,edi,preprocess_cdr_soil_carbon_flux,CDR_SoilCarbonFlux_1999-2005_processed.csv,CDR_SoilCarbonFlux_1999-2005_processed.csv,TRUE,"Soil carbon flux: Effects of Long Term Fertilization and Oak Canopy Cover (E004)",E004 fertilization and oak canopy 1999-2005
GCE_vegetation,GCE,,,,10.6073/pasta/6df40a30859a7293db9a76fc4fff8cec,url,preprocess_gce_vegetation,GCE1.csv,GCE1.csv,FALSE,"Critical slowing down: vegetation recovery in tidal marshes",EXCLUDED: vegetation percent cover is not a carbon measurement
HBR_litterfall,HBR,knb-lter-hbr.404.1,bc5694d823694eced9dfdd4e7e29e6de,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hbr.404.1,10.6073/pasta/e2d437bddf1166a733b0df09c87f89f1,edi,preprocess_hbr_litterfall,HBR_litterfall_2009-2022_processed.csv,HBR_litterfall_2009-2022_processed.csv,TRUE,"MELNHE: Litterfall mass 2009-2022",MELNHE nutrient addition litterfall
HFR_soil_respiration,HFR,knb-lter-hfr.5.37,f75235fbbc3fc2396171f4b1fa0b18c2,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-hfr.5.37,10.6073/pasta/abf59a218a5868baf5b2c073a7dd1d7f,edi,preprocess_hfr_soil_respiration,HFR_soil-respiration_1991-2021_Processed.csv,HFR_soil-respiration_1991-2021_Processed.csv,TRUE,"Prospect Hill Soil Warming Experiment since 1991",hf005-05 soil respiration; C/DC/H treatments
KBS_biomass,KBS,knb-lter-kbs.19.85,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-kbs.19.85,10.6073/pasta/f9b2a038b8a7ad43a252587a84935f30,edi,preprocess_kbs_biomass,KBS_Biomass_1990-2022_processed.csv,KBS_Biomass_1990-2022_processed.csv,TRUE,"Annual NPP on Main Cropping System Experiment 1990-2018",MCSE treatments T1-T4 T6 T21; data extends to 2022 from KBS website
KNZ_biomass,KNZ,knb-lter-knz.57.15,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-knz.57.15,10.6073/pasta/d769700c0e40751bfb8b4fb8c34dabb2,edi,preprocess_knz_biomass,KNZ_Biomass_1986-2021_processed.csv,KNZ_Biomass_1986-2021_processed.csv,TRUE,"Belowground Plot Experiment: Aboveground NPP of tallgrass prairie",PBB01 fire/mowing/nutrient experiment 1986-2021
MCM_co2flux,MCM,knb-lter-mcm.4014.5,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-mcm.4014.5,,edi,preprocess_mcm_co2flux,MCM_CO2flux_2003-2010_processed.csv,MCM_CO2flux_2003-2010_processed.csv,TRUE,"McMurdo Dry Valleys Stoichiometry Experiment - CO2 flux 2003-2010",Replaces knb-lter-mcm.4013.6 (invertebrate abundance); CO2 flux in µmol/m2/sec; W=control C=Carbon addition
NTL_cascade_bloom,NTL,knb-lter-ntl.413.2,9d812efccf4107979d11e16316000b2e,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-ntl.413.2,10.6073/pasta/5a9862187368b616bed8e20381343717,edi,preprocess_ntl_bloom,NTL_NutrientAddition1.csv,NTL_NutrientAddition1.csv,FALSE,"Cascade Project: Daily Bloom Data for Whole Lake Experiments 2011-2019",EXCLUDED: chlorophyll is not a direct carbon measurement
NWT_anpp,NWT,knb-lter-nwt.13.7,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-nwt.13.7,10.6073/pasta/caacfd0b6e32b5a72f8fe3904ca897bf,edi,preprocess_nwt_anpp,NWT_AbovegroundBiomass_2006-2019_gm2_processed.csv,NWT_AbovegroundBiomass_2006-2019_gm2_processed.csv,TRUE,"Increased temperature N and snowpack experiment 2006-ongoing",Use ANPP data entity; X=control not in CONTROL_NAMES
PIE_plant_shoot,PIE,knb-lter-pie.202.5,a896d15c449afd172023a33d77c6d21c,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-pie.202.5,10.6073/pasta/226fb7db2c7b9f8119e40c937b1a19a0,edi,preprocess_pie_plant_shoot,PIE-PlantShoot_2004-2020_Processed.csv,PIE-PlantShoot_2004-2020_Processed.csv,TRUE,"Marsh plant species shoot parameters for TIDE experiment",TIDE NO3 fertilization at Sweeney/Clubhead creeks
SBC_algal_biomass,SBC,knb-lter-sbc.119,,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-sbc&identifier=119,10.6073/pasta/4c63cd36279b7e8448d09651a51ed8a6,edi,preprocess_sbc_algal_biomass,SBC_algal_biomass_2008-2024_processed_corrected.csv,SBC_algal_biomass_2008-2024_processed_corrected.csv,TRUE,"SBC LTER: Reef: Long-term experiment: biomass of kelp forest species",Kelp removal experiment; experiment_type should be Vegetation Removal not Fertilization
SEV_biomass,SEV,knb-lter-sev.186.208431,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-sev.186.208431,10.6073/pasta/9468c8bcda68c0a05c06499ec51b1d55,edi,preprocess_sev_biomass,SEV_Aboveground_Biomass_2004-2023_gm2_processed_compactv.csv,SEV_Aboveground_Biomass_2004-2023_gm2_processed_compactv.csv,TRUE,"NFert: Seasonal Biomass and Annual NPP at Sevilleta",Nitrogen fertilization experiment biomass
VCR_inundation_2nd,VCR,knb-lter-vcr.169.24,8c909ac23812218c56d9a9e1ab9256f7,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-vcr&identifier=169&revision=24,10.6073/pasta/d4d1465334c1de8c108b0d3eae6fdccc,edi,preprocess_vcr_inundation_2nd,"VCR_flora manipulation and inundation_live_dead_biomass_1998-2010_gm2_processed.csv","VCR_flora manipulation and inundation_live_dead_biomass_1998-2010_gm2_processed.csv",TRUE,"End of Year Biomass for 2nd UPC Inundation Experiment 1999-2010",Upper Phillips Creek inundation experiment
VCR_inundation_1st,VCR,knb-lter-vcr.168.24,347eb8899f3b943ded96406174ab02e8,https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-vcr&identifier=168&revision=24,10.6073/pasta/3854929ce06dc8c667eff9615adb730f,edi,preprocess_vcr_inundation_1st,"VCR_flora maniupulation and inundation_live_dead_biomass_1994-2014_gm2_processed.csv","VCR_flora maniupulation and inundation_live_dead_biomass_1994-2014_gm2_processed.csv",TRUE,"End of Year Biomass for 1st UPC Inundation Experiment 1999-2014",Upper Phillips Creek inundation + wrack experiment
LUQ_ghg,LUQ,knb-lter-luq.164.678951,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-luq.164.678951,,edi,preprocess_luq_ghg,LUQ_GHG_fluxes_2003-2010.csv,LUQ_GHG_fluxes_2003-2010.csv,TRUE,"CTE Soil GHG fluxes 2003-2010",CRITICAL: Treatment col mapped to N2O flux; needs block-to-treatment mapping restored
LUQ_seedling,LUQ,knb-lter-luq.143.1058123,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-luq.143.1058123,,edi,preprocess_luq_seedling,LUQ_seedling_2003-2021_processed.csv,,FALSE,"CTE plant seedling measurements 2003-2021",Not in column_key; not currently used in pipeline
AND_biomass_experimental,AND,,,,10.6073/pasta/4b7bc8c4f8e8a2b7bba96ada2f9cd643,url,preprocess_and_biomass,AND_plant_biomass_2002-2021_processed.csv,AND_plant_biomass_2002-2021_processed.csv,FALSE,"Plant biomass dynamics following logging in Watersheds 6 and 7",EXCLUDED: treatment uses DBA; control uses DBH — incompatible metrics; no valid treatment/control comparison
AND_biomass_control,AND,knb-lter-and.2742.28,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-and.2742.28,,edi,preprocess_and_biomass,AND_plant_biomass_2002-2021_processed.csv,AND_plant_biomass_2002-2021_processed.csv,FALSE,"Long-term tree growth in permanent plots (WS08 control)",EXCLUDED: DBA vs DBH incompatibility — see AND_biomass_experimental
ARC_biomass,ARC,knb-lter-arc.10004.8,a93e86f3704defd7141a61f938f78552,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-arc.10004.8,10.6073/pasta/c3ef07e6ed81c1fc33e9bc20aff07093,edi,preprocess_arc_biomass,ARC_Biomass_1982-2015_processed.csv,ARC_Biomass_1982-2015_processed.csv,TRUE,"Above ground plant biomass in mesic acidic tussock tundra 1982-2015",Toolik Lake fertilization/warming/shade experiment
BNZ_nee,BNZ,knb-lter-bnz.481.23,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-bnz.481.23,,edi,preprocess_bnz_nee,BNZ_NEE_2009-2021.csv,BNZ_NEE_2009-2021.csv,TRUE,"CiPEHR: Half-hourly CO2 flux data 2009-2021",Carbon in Permafrost Experimental Heating Research; half-hourly to annual aggregation
CAP_biomass,CAP,knb-lter-cap.632.17,,https://portal.edirepository.org/nis/mapbrowse?packageid=knb-lter-cap.632.17,,edi,preprocess_cap_biomass,CAP_Biomass_2006-2024_Processed.csv,CAP_Biomass_2006-2024_Processed.csv,TRUE,"Desert Fertilization Experiment: Sonoran desert response to N deposition",CNdep/Desert Fertilization Experiment 2006-2024
